,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,minSteps
0,noise0.067_softmaxBeta2.5_4,"[470, 931, 1406, 1877, 2333, 2791, 3246, 3703, 4159, 4615, 5070, 5526, 5984]","[(9, 9), [8, 9], [8, 8], [7, 8], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [3, 6], [2, 6], [2, 5], [2, 4], [1, 4]]","[(-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1]",0,"(9, 9)","(1, 4)","(4, 1)",6
1,noise0.067_softmaxBeta2.5_4,"[445, 886, 1340, 1801, 2245, 2694, 3135, 3584, 4031, 4477, 4922, 5365, 5810]","[(1, 4), [2, 4], [3, 4], [4, 4], [5, 4], [5, 4], [6, 4], [7, 4], [8, 5], [8, 6], [8, 7], [8, 8], [8, 9], [9, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]","[5, 8]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1]",2,"(1, 4)","(9, 9)","(6, 12)",2
2,noise0.067_softmaxBeta2.5_4,"[448, 895, 1351, 1811, 2256, 2700, 3144, 3585, 4031, 4475, 4918, 5358, 5804, 6247]","[(12, 11), [11, 11], [11, 10], [10, 10], [10, 9], [10, 8], [11, 7], [11, 6], [11, 5], [11, 4], [10, 4], [10, 3], [9, 3], [8, 3], [7, 3]]","[(-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0)]",[6],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 0, 0, 0]",1,"(12, 11)","(4, 6)","(7, 3)",10
3,noise0.067_softmaxBeta2.5_4,"[451, 925, 1387, 1849, 2298, 2750, 3198, 3648, 4095, 4547, 4994, 5443, 5888, 6338, 6786, 7234]","[(1, 13), [1, 12], [1, 11], [1, 10], [1, 9], [1, 8], [1, 7], [1, 6], [1, 5], [2, 5], [3, 5], [3, 4], [3, 3], [4, 3], [4, 2], [5, 2], [6, 2]]","[(0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0)]",[3],"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0]",1,"(1, 13)","(6, 2)","(12, 8)",2
4,noise0.067_softmaxBeta2.5_4,"[450, 898, 1356, 1818, 2268, 2720, 3167, 3614, 4060, 4513, 4959, 5406, 5851, 6297, 6740, 7182]","[(13, 1), [12, 1], [11, 1], [11, 2], [11, 3], [10, 3], [10, 4], [9, 4], [9, 5], [8, 5], [7, 5], [6, 5], [5, 5], [4, 5], [3, 5], [2, 5], [2, 6]]","[(-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0]",0,"(13, 1)","(8, 12)","(2, 6)",10
5,noise0.067_softmaxBeta2.5_4,"[453, 900, 1370, 1839, 2292, 2774, 3229, 3682, 4143, 4599, 5057, 5512, 5971, 6427, 6882, 7343, 7799, 8261, 8719, 9179, 9638]","[(1, 12), [1, 13], [0, 14], [0, 13], [0, 12], [0, 11], [0, 10], [0, 9], [0, 8], [1, 8], [2, 8], [2, 7], [2, 6], [2, 5], [2, 4], [3, 4], [4, 4], [4, 3], [4, 2], [4, 1], [5, 1], [6, 1]]","[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0)]","[1, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0]",2,"(1, 12)","(6, 1)","(12, 7)",6
6,noise0.067_softmaxBeta2.5_4,"[457, 911, 1376, 1839, 2291, 2747, 3198, 3652, 4107, 4564, 5019, 5473, 5927, 6382, 6866, 7321, 7774, 8227]","[(2, 1), [3, 1], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [6, 4], [6, 5], [6, 6], [6, 7], [6, 8], [6, 9], [6, 10], [5, 10], [5, 11], [6, 11], [6, 12], [7, 12]]","[(1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0)]",[14],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 2, 0]",1,"(2, 1)","(13, 6)","(7, 12)",10
7,noise0.067_softmaxBeta2.5_4,"[459, 913, 1384, 1851, 2308, 2762, 3221, 3678, 4137, 4595, 5047, 5504, 5961, 6420, 6872, 7330, 7786]","[(12, 11), [11, 11], [11, 10], [10, 10], [11, 11], [10, 11], [10, 10], [10, 9], [10, 8], [10, 7], [10, 6], [10, 5], [9, 5], [9, 4], [8, 4], [7, 4], [7, 3], [7, 2]]","[(-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1)]",[4],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 2, 2]",1,"(12, 11)","(3, 6)","(7, 2)",6
8,noise0.067_softmaxBeta2.5_4,"[451, 899, 1359, 1822, 2268, 2718, 3165, 3615, 4063, 4512, 4959, 5406, 5856]","[(2, 1), [3, 1], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [7, 6], [8, 6], [9, 6], [10, 6]]","[(1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]",[7],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",1,"(2, 1)","(10, 6)","(7, 9)",10
9,noise0.067_softmaxBeta2.5_4,"[460, 922, 1392, 1863, 2322, 2783, 3239, 3726, 4185, 4639, 5096, 5555, 6015, 6473]","[(11, 11), [11, 10], [11, 9], [10, 9], [9, 9], [8, 9], [8, 8], [7, 8], [7, 7], [6, 7], [5, 7], [5, 6], [4, 6], [3, 6], [2, 6]]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1]",0,"(11, 11)","(2, 6)","(6, 2)",10
10,noise0.067_softmaxBeta2.5_4,"[461, 915, 1383, 1854, 2312, 2767, 3225, 3677, 4134, 4587, 5043, 5497, 5950, 6407, 6861, 7317, 7773]","[(13, 2), [13, 3], [12, 3], [12, 4], [12, 5], [12, 6], [12, 7], [12, 8], [11, 8], [10, 8], [10, 9], [9, 9], [9, 10], [9, 11], [8, 10], [8, 11], [8, 12], [8, 13]]","[(0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[14],"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1]",1,"(13, 2)","(8, 13)","(2, 7)",4
11,noise0.067_softmaxBeta2.5_4,"[461, 918, 1386, 1857, 2314, 2772, 3227, 3681, 4134, 4588, 5041, 5497, 5949, 6404, 6856, 7338, 7795, 8251, 8706, 9158]","[(13, 13), [12, 13], [12, 12], [12, 11], [12, 10], [11, 10], [10, 10], [10, 10], [10, 9], [10, 8], [10, 7], [10, 6], [9, 6], [10, 7], [9, 7], [9, 6], [9, 5], [9, 4], [9, 3], [9, 2], [8, 2]]","[(-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0)]","[7, 13]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 2, 2, 2, 2, 0]",2,"(13, 13)","(2, 8)","(8, 2)",4
12,noise0.067_softmaxBeta2.5_4,"[461, 916, 1385, 1851, 2312, 2765, 3226, 3681, 4140, 4595, 5050, 5505, 5955, 6409]","[(11, 1), [11, 2], [11, 3], [10, 3], [9, 3], [8, 4], [7, 4], [7, 5], [7, 6], [6, 6], [5, 6], [4, 6], [3, 6], [2, 6], [1, 6]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[5],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2]",1,"(11, 1)","(6, 11)","(1, 6)",10
13,noise0.067_softmaxBeta2.5_4,"[454, 909, 1371, 1835, 2288, 2741, 3190, 3642, 4097, 4548, 4999, 5445, 5898, 6374, 6827, 7276, 7726, 8178]","[(1, 3), [2, 3], [2, 4], [2, 5], [3, 5], [3, 6], [4, 6], [5, 6], [5, 6], [5, 7], [6, 7], [7, 7], [7, 8], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [10, 8]]","[(1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1)]","[8, 13]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0]",2,"(1, 3)","(10, 8)","(6, 12)",10
