,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,minSteps
0,noise0.067_softmaxBeta2.5_7,"[456, 895, 1347, 1803, 2249, 2694, 3137, 3575, 4022, 4469, 4916, 5363, 5809, 6255]","[(3, 2), [3, 3], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4], [7, 5], [7, 6], [8, 6], [8, 7], [8, 8], [8, 9], [8, 10], [8, 11]]","[(0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",0,"(3, 2)","(12, 7)","(8, 11)",10
1,noise0.067_softmaxBeta2.5_7,"[449, 891, 1346, 1814, 2265, 2721, 3174, 3628, 4079, 4531, 4982, 5433, 5891, 6347, 6804, 7257]","[(2, 3), [2, 4], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9], [2, 8], [3, 8], [3, 9], [4, 9], [4, 10], [4, 11], [4, 12], [5, 12], [6, 12], [7, 12]]","[(0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[2, 7]","[0, 0, 0, 0, 0, 2, 2, 0, 2, 0, 2, 2, 2, 0, 0, 0]",2,"(2, 3)","(11, 8)","(7, 12)",4
2,noise0.067_softmaxBeta2.5_7,"[470, 936, 1416, 1894, 2361, 2825, 3290, 3757, 4221, 4692, 5158, 5626, 6091, 6560]","[(5, 5), [5, 6], [6, 6], [7, 6], [7, 7], [8, 7], [9, 7], [9, 8], [9, 9], [9, 10], [10, 10], [11, 10], [10, 11], [10, 12], [10, 13]]","[(0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1)]",[12],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2]",1,"(5, 5)","(13, 10)","(10, 13)",6
3,noise0.067_softmaxBeta2.5_7,"[457, 914, 1381, 1886, 2344, 2806, 3266, 3732, 4194, 4658, 5120, 5579, 6044, 6502, 6965]","[(13, 11), [13, 10], [12, 10], [11, 10], [11, 9], [10, 9], [9, 9], [9, 8], [9, 7], [9, 6], [9, 5], [9, 4], [9, 3], [9, 2], [9, 1], [8, 1]]","[(0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0)]",[14],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0]",1,"(13, 11)","(3, 6)","(8, 1)",6
4,noise0.067_softmaxBeta2.5_7,"[465, 930, 1405, 1881, 2343, 2815, 3280, 3747, 4212, 4678, 5145, 5606, 6072, 6534, 7001, 7463]","[(10, 2), [10, 3], [11, 2], [11, 3], [10, 3], [10, 4], [9, 4], [8, 5], [8, 6], [7, 6], [7, 7], [7, 8], [7, 9], [6, 9], [6, 10], [6, 11], [5, 11]]","[(0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0)]","[2, 7]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",2,"(10, 2)","(5, 11)","(1, 7)",2
5,noise0.067_softmaxBeta2.5_7,"[471, 935, 1413, 1887, 2352, 2812, 3277, 3742, 4207, 4672, 5137, 5597, 6055, 6522, 6982, 7442]","[(13, 2), [13, 3], [13, 4], [12, 4], [11, 4], [11, 5], [10, 5], [9, 5], [8, 5], [8, 6], [7, 6], [6, 6], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2, 2]",0,"(13, 2)","(8, 13)","(2, 7)",2
6,noise0.067_softmaxBeta2.5_7,"[465, 934, 1414, 1899, 2366, 2834, 3301, 3770, 4236, 4700, 5168, 5635, 6101, 6564]","[(11, 3), [11, 4], [11, 5], [11, 6], [11, 7], [11, 8], [11, 9], [10, 9], [10, 10], [9, 10], [9, 11], [8, 11], [7, 11], [6, 12], [6, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1)]",[13],"[0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1]",1,"(11, 3)","(6, 13)","(1, 8)",2
7,noise0.067_softmaxBeta2.5_7,"[462, 915, 1410, 1876, 2330, 2780, 3233, 3701, 4150, 4605, 5055, 5507, 5956, 6408, 6858, 7311]","[(2, 1), [3, 1], [3, 2], [3, 3], [3, 4], [4, 4], [5, 4], [6, 4], [6, 5], [6, 4], [6, 5], [6, 6], [6, 7], [6, 8], [7, 8], [7, 9], [7, 10]]","[(1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1)]",[9],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 2]",1,"(2, 1)","(11, 6)","(7, 10)",4
8,noise0.067_softmaxBeta2.5_7,"[465, 928, 1405, 1876, 2340, 2806, 3269, 3729, 4192, 4651, 5114, 5574, 6035, 6495, 6958]","[(12, 13), [11, 13], [10, 13], [10, 12], [10, 11], [9, 11], [8, 11], [7, 10], [6, 10], [6, 9], [5, 9], [4, 9], [3, 9], [3, 8], [2, 8], [1, 8]]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0)]",[7],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1]",1,"(12, 13)","(1, 8)","(7, 2)",2
9,noise0.067_softmaxBeta2.5_7,"[461, 915, 1384, 1852, 2309, 2765, 3222, 3672, 4114, 4558, 4996, 5428, 5860, 6299, 6732]","[(1, 3), [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [4, 6], [5, 6], [6, 6], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [10, 8], [11, 8]]","[(1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1]",0,"(1, 3)","(11, 8)","(6, 13)",4
10,noise0.067_softmaxBeta2.5_7,"[445, 886, 1343, 1812, 2290, 2741, 3189, 3641, 4090, 4542, 4989, 5441, 5898, 6357, 6812, 7269, 7724]","[(2, 13), [3, 13], [3, 12], [4, 12], [5, 12], [5, 11], [5, 10], [6, 10], [5, 9], [6, 9], [6, 8], [6, 7], [6, 6], [6, 5], [7, 5], [7, 4], [7, 3], [7, 2]]","[(1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1)]",[8],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1]",1,"(2, 13)","(7, 2)","(13, 8)",4
11,noise0.067_softmaxBeta2.5_7,"[464, 932, 1407, 1883, 2346, 2815, 3278, 3741, 4196, 4663, 5122, 5588, 6051, 6517]","[(3, 9), [3, 8], [4, 8], [4, 7], [5, 7], [5, 7], [6, 7], [6, 6], [6, 5], [7, 5], [8, 5], [9, 5], [10, 5], [10, 4], [11, 4]]","[(0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0)]","[5, 8]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2]",2,"(3, 9)","(8, 1)","(11, 4)",10
12,noise0.067_softmaxBeta2.5_7,"[456, 909, 1382, 1850, 2310, 2764, 3221, 3678, 4139, 4622, 5078, 5533, 5990, 6443, 6897]","[(1, 12), [1, 11], [2, 11], [3, 11], [2, 10], [3, 10], [4, 10], [5, 10], [5, 9], [5, 8], [5, 7], [6, 7], [6, 6], [6, 5], [6, 4], [6, 3]]","[(0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]","[4, 11]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",2,"(1, 12)","(6, 3)","(10, 7)",6
