,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,minSteps
0,noise0.067_softmaxBeta2.5_1,"[464, 921, 1394, 1863, 2323, 2780, 3240, 3729, 4192, 4654, 5115, 5578, 6036, 6498, 6958, 7417, 7878, 8341, 8805]","[(2, 12), [3, 12], [3, 11], [4, 11], [5, 11], [5, 10], [4, 11], [5, 11], [6, 11], [7, 11], [8, 11], [9, 11], [9, 10], [9, 9], [9, 8], [10, 8], [11, 8], [12, 8], [12, 7], [13, 7]]","[(1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0)]",[6],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 2, 2, 0, 2]",1,"(2, 12)","(7, 1)","(13, 7)",4
1,noise0.067_softmaxBeta2.5_1,"[456, 902, 1356, 1814, 2257, 2703, 3145, 3591, 4036, 4483, 4927, 5374, 5817, 6260, 6705, 7150]","[(13, 13), [13, 12], [13, 11], [14, 12], [14, 11], [13, 11], [12, 11], [12, 10], [12, 9], [12, 8], [12, 7], [11, 7], [11, 6], [10, 6], [9, 6], [8, 6], [8, 5]]","[(0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1)]",[3],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2]",1,"(13, 13)","(5, 8)","(8, 5)",4
2,noise0.067_softmaxBeta2.5_1,"[460, 919, 1391, 1859, 2318, 2776, 3267, 3721, 4177, 4633, 5088, 5547, 6001, 6458, 6914, 7369, 7824]","[(12, 1), [12, 2], [12, 3], [11, 3], [11, 3], [10, 3], [10, 4], [10, 5], [10, 6], [9, 6], [9, 7], [9, 8], [8, 8], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[4],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1]",1,"(12, 1)","(7, 12)","(1, 6)",2
3,noise0.067_softmaxBeta2.5_1,"[458, 913, 1377, 1833, 2272, 2716, 3162, 3605, 4044, 4485, 4928, 5369, 5806, 6243, 6684, 7130, 7574, 8016]","[(1, 2), [2, 2], [3, 2], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [8, 3], [7, 3], [7, 4], [7, 5], [7, 6], [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7]]","[(1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[9],"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",1,"(1, 2)","(12, 7)","(6, 13)",4
4,noise0.067_softmaxBeta2.5_1,"[448, 918, 1371, 1828, 2277, 2732, 3184, 3640, 4093, 4548, 5000, 5455, 5908, 6358, 6809]","[(13, 1), [13, 2], [12, 2], [12, 3], [11, 3], [11, 4], [11, 5], [10, 5], [9, 5], [8, 5], [7, 5], [6, 5], [5, 6], [4, 6], [3, 6], [2, 6]]","[(0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[12],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2]",1,"(13, 1)","(8, 12)","(2, 6)",6
5,noise0.067_softmaxBeta2.5_1,"[462, 924, 1395, 1860, 2320, 2782, 3245, 3743, 4205, 4663, 5121, 5580, 6042, 6505]","[(4, 4), [4, 5], [5, 5], [6, 5], [7, 5], [7, 6], [7, 7], [8, 7], [8, 8], [8, 9], [8, 10], [8, 11], [8, 12], [9, 12], [9, 13]]","[(0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1)]",[3],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 2]",1,"(4, 4)","(13, 9)","(9, 13)",4
6,noise0.067_softmaxBeta2.5_1,"[457, 912, 1384, 1851, 2312, 2767, 3228, 3684, 4173, 4628, 5087, 5544, 6002, 6459, 6916]","[(1, 11), [2, 11], [3, 11], [4, 11], [5, 11], [6, 11], [7, 11], [7, 10], [8, 10], [9, 10], [10, 10], [10, 9], [10, 8], [10, 7], [10, 6], [11, 6]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0)]",[],"[0, 0, 0, 0, 0, 2, 0, 2, 2, 2, 0, 0, 0, 0, 2]",0,"(1, 11)","(6, 1)","(11, 6)",2
7,noise0.067_softmaxBeta2.5_1,"[462, 921, 1393, 1861, 2319, 2775, 3235, 3692, 4150, 4610, 5068, 5524, 5975, 6431, 6884, 7340, 7794, 8254, 8713, 9169]","[(12, 12), [11, 12], [10, 12], [10, 11], [10, 10], [10, 9], [11, 10], [10, 10], [10, 9], [10, 8], [11, 7], [11, 6], [11, 5], [10, 5], [9, 5], [8, 5], [8, 4], [8, 3], [8, 2], [7, 2], [7, 1]]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1)]","[6, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 2, 2, 2, 0, 2]",2,"(12, 12)","(1, 7)","(7, 1)",10
8,noise0.067_softmaxBeta2.5_1,"[462, 924, 1393, 1898, 2354, 2806, 3264, 3720, 4179, 4635, 5091, 5547, 6003, 6457, 6912, 7369, 7823, 8283]","[(2, 11), [2, 10], [3, 10], [3, 9], [4, 9], [5, 9], [6, 9], [6, 8], [6, 7], [5, 8], [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [10, 6], [11, 6], [12, 6]]","[(0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0)]",[9],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 2, 2]",1,"(2, 11)","(7, 1)","(12, 6)",10
9,noise0.067_softmaxBeta2.5_1,"[453, 907, 1368, 1837, 2286, 2737, 3188, 3640, 4088, 4536, 4986, 5430, 5869, 6331, 6777, 7213]","[(4, 13), [4, 12], [4, 11], [5, 11], [6, 11], [7, 11], [8, 12], [9, 12], [10, 12], [10, 11], [11, 11], [12, 11], [11, 11], [11, 10], [12, 10], [12, 9], [12, 8]]","[(0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1)]","[6, 12]","[0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 0, 2, 0, 0]",2,"(4, 13)","(9, 5)","(12, 8)",10
10,noise0.067_softmaxBeta2.5_1,"[451, 898, 1355, 1813, 2253, 2700, 3147, 3594, 4050, 4497, 4941, 5389, 5861, 6310, 6767, 7219, 7676, 8132]","[(13, 12), [13, 11], [13, 10], [12, 10], [11, 10], [10, 10], [11, 10], [11, 9], [11, 8], [11, 7], [11, 6], [11, 5], [11, 4], [10, 4], [10, 3], [10, 2], [9, 2], [9, 1], [8, 1]]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0)]",[6],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 2, 2, 0, 2, 0]",1,"(13, 12)","(2, 7)","(8, 1)",6
11,noise0.067_softmaxBeta2.5_1,"[457, 907, 1372, 1825, 2266, 2709, 3154, 3604, 4051, 4501, 4948, 5399, 5851, 6302, 6751, 7203]","[(13, 1), [13, 2], [13, 3], [12, 3], [11, 3], [10, 3], [9, 3], [9, 4], [9, 5], [9, 6], [9, 7], [9, 8], [9, 9], [9, 10], [8, 10], [8, 11], [8, 12]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1]",0,"(13, 1)","(8, 12)","(2, 6)",10
12,noise0.067_softmaxBeta2.5_1,"[461, 919, 1391, 1861, 2322, 2782, 3242, 3698, 4155, 4612, 5069, 5525, 5983, 6442, 6899, 7356]","[(3, 10), [4, 10], [5, 10], [5, 9], [6, 9], [5, 10], [5, 9], [6, 9], [6, 8], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [11, 6], [11, 5]]","[(1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1)]",[5],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0]",1,"(3, 10)","(8, 2)","(11, 5)",4
13,noise0.067_softmaxBeta2.5_1,"[458, 917, 1388, 1861, 2319, 2783, 3240, 3731, 4184, 4637, 5102, 5556, 6020, 6473, 6935, 7393, 7855, 8312, 8774]","[(13, 3), [12, 3], [12, 4], [12, 5], [12, 6], [11, 6], [10, 6], [10, 7], [9, 7], [9, 8], [9, 9], [8, 8], [7, 8], [6, 8], [7, 9], [6, 9], [5, 9], [4, 9], [4, 8], [3, 8]]","[(-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0)]","[11, 14]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2]",2,"(13, 3)","(8, 13)","(3, 8)",4
14,noise0.067_softmaxBeta2.5_1,"[448, 893, 1353, 1813, 2260, 2707, 3155, 3597, 4045, 4493, 4943, 5388, 5830]","[(13, 1), [12, 1], [11, 1], [11, 2], [11, 3], [11, 4], [10, 4], [10, 5], [9, 5], [8, 5], [7, 5], [7, 6], [6, 6], [5, 6]]","[(-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2]",0,"(13, 1)","(8, 9)","(5, 6)",10
15,noise0.067_softmaxBeta2.5_1,"[456, 906, 1363, 1808, 2239, 2672, 3114, 3558, 4002, 4448, 4895, 5340, 5772, 6219, 6704, 7161, 7608, 8060, 8512]","[(13, 13), [13, 12], [13, 13], [13, 12], [12, 12], [11, 12], [11, 11], [11, 10], [10, 10], [9, 10], [10, 11], [10, 10], [9, 10], [9, 9], [8, 9], [7, 9], [7, 8], [6, 8], [5, 8], [4, 8]]","[(0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0)]","[2, 10]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1]",2,"(13, 13)","(4, 8)","(8, 4)",10
16,noise0.067_softmaxBeta2.5_1,"[464, 928, 1399, 1872, 2334, 2797, 3255, 3717, 4177, 4639, 5098, 5555, 6016]","[(9, 12), [9, 11], [9, 10], [8, 10], [7, 10], [6, 10], [5, 10], [5, 9], [5, 8], [5, 7], [4, 7], [3, 7], [2, 7], [1, 7]]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",0,"(9, 12)","(1, 7)","(4, 4)",6
17,noise0.067_softmaxBeta2.5_1,"[455, 912, 1371, 1833, 2285, 2735, 3205, 3644, 4083, 4532, 4972, 5409, 5850, 6294, 6735, 7176, 7616, 8057]","[(1, 2), [2, 2], [1, 2], [2, 2], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [4, 6], [5, 6], [6, 6], [7, 6], [8, 6], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7]]","[(1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]",[2],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1]",1,"(1, 2)","(12, 7)","(6, 13)",10
18,noise0.067_softmaxBeta2.5_1,"[436, 873, 1317, 1780, 2229, 2680, 3126, 3575, 4026, 4472, 4921, 5365, 5810]","[(3, 13), [4, 13], [5, 13], [5, 12], [5, 11], [5, 10], [5, 9], [6, 9], [7, 9], [8, 9], [8, 8], [9, 8], [10, 8], [11, 8]]","[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2]",0,"(3, 13)","(8, 5)","(11, 8)",10
19,noise0.067_softmaxBeta2.5_1,"[460, 923, 1391, 1862, 2326, 2788, 3251, 3713, 4172, 4634, 5097, 5556, 6047, 6505, 6967, 7426, 7888, 8349]","[(3, 11), [4, 12], [5, 12], [5, 11], [6, 11], [6, 12], [7, 12], [8, 12], [8, 11], [9, 11], [9, 10], [10, 10], [11, 10], [12, 10], [12, 9], [12, 8], [13, 8], [13, 7], [13, 6]]","[(0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1)]","[1, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 2, 0, 0, 2, 0, 0]",2,"(3, 11)","(8, 1)","(13, 6)",2
