,name,reactionTime,trajectory,aimAction,noisePoint,noiseNumber,playerGrid,target1,target2,minSteps
0,softmaxBeta2.5_10,"[408, 817, 1214, 1630, 2026, 2418, 2812, 3205, 3596, 3992, 4385, 4805, 5196, 5587, 5979, 6369, 6759]","[(13, 13), [13, 12], [13, 11], [13, 10], [13, 9], [13, 8], [13, 7], [13, 6], [12, 6], [12, 5], [12, 4], [11, 4], [10, 4], [10, 3], [10, 2], [9, 2], [8, 2], [7, 2]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0)]",[],0,"(13, 13)","(2, 7)","(7, 2)",2
1,softmaxBeta2.5_10,"[406, 800, 1200, 1613, 2011, 2404, 2796, 3190, 3584, 3979, 4373, 4766, 5160, 5554, 5946, 6339, 6734]","[(12, 12), [12, 11], [12, 10], [12, 9], [12, 8], [12, 7], [12, 6], [12, 5], [12, 4], [12, 3], [12, 2], [11, 2], [11, 1], [10, 1], [9, 1], [8, 1], [7, 1], [6, 1]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],0,"(12, 12)","(1, 6)","(6, 1)",2
2,softmaxBeta2.5_10,"[402, 797, 1197, 1616, 2015, 2412, 2806, 3200, 3596, 3989, 4417, 4811, 5204, 5600, 5995, 6390]","[(13, 3), [13, 4], [13, 5], [12, 5], [11, 5], [10, 5], [9, 5], [9, 6], [9, 7], [9, 8], [9, 9], [9, 10], [8, 10], [7, 10], [7, 11], [7, 12], [7, 13]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]",[],0,"(13, 3)","(7, 13)","(3, 9)",6
3,softmaxBeta2.5_10,"[395, 787, 1184, 1596, 1994, 2385, 2775, 3167, 3557, 3951, 4342, 4733, 5126, 5513, 5901, 6287, 6672, 7059]","[(13, 13), [12, 13], [11, 13], [11, 12], [11, 11], [11, 10], [11, 9], [10, 9], [10, 8], [10, 7], [10, 6], [10, 5], [10, 4], [10, 3], [10, 2], [10, 1], [9, 1], [8, 1], [7, 1]]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0)]",[],0,"(13, 13)","(1, 7)","(7, 1)",2
4,softmaxBeta2.5_10,"[395, 788, 1186, 1594, 1993, 2387, 2779, 3174, 3566, 3959, 4353, 4746, 5139, 5531, 5925, 6317]","[(3, 1), [3, 2], [3, 3], [4, 3], [4, 4], [4, 5], [4, 6], [4, 7], [5, 7], [6, 7], [6, 8], [6, 9], [7, 9], [7, 10], [7, 11], [8, 11], [9, 11]]","[(0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0)]",[],0,"(3, 1)","(13, 7)","(9, 11)",4
5,softmaxBeta2.5_10,"[392, 781, 1172, 1615, 2011, 2401, 2792, 3182, 3573, 3964, 4356, 4746, 5137, 5527, 5917, 6307]","[(13, 1), [13, 2], [13, 3], [12, 3], [12, 4], [12, 5], [12, 6], [12, 7], [12, 8], [12, 9], [11, 9], [11, 10], [11, 11], [10, 11], [9, 11], [8, 11], [7, 11]]","[(0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],0,"(13, 1)","(7, 11)","(3, 7)",4
6,softmaxBeta2.5_10,"[394, 786, 1183, 1595, 1991, 2383, 2774, 3162, 3553, 3942, 4334, 4725, 5116, 5509, 5900, 6295, 6690, 7081]","[(1, 13), [1, 12], [1, 11], [1, 10], [1, 9], [1, 8], [1, 7], [1, 6], [2, 6], [3, 6], [4, 6], [5, 6], [6, 6], [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [7, 1]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],0,"(1, 13)","(7, 1)","(13, 7)",2
7,softmaxBeta2.5_10,"[398, 790, 1189, 1602, 2031, 2424, 2814, 3208, 3600, 3990, 4382, 4773, 5165, 5554, 5945, 6334, 6724]","[(1, 2), [1, 3], [2, 3], [3, 3], [3, 4], [3, 5], [3, 6], [3, 7], [3, 8], [3, 9], [3, 10], [3, 11], [4, 11], [4, 12], [5, 12], [6, 12], [7, 12], [7, 13]]","[(0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1)]",[],0,"(1, 2)","(12, 8)","(7, 13)",6
8,softmaxBeta2.5_10,"[389, 775, 1163, 1573, 1966, 2352, 2738, 3122, 3511, 3898, 4285, 4706, 5092, 5481, 5871]","[(2, 13), [3, 13], [4, 13], [4, 12], [4, 11], [4, 10], [4, 9], [5, 9], [6, 9], [6, 8], [6, 7], [7, 7], [8, 7], [8, 6], [8, 5], [8, 4]]","[(1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]",[],0,"(2, 13)","(8, 4)","(11, 7)",6
9,softmaxBeta2.5_10,"[393, 786, 1183, 1594, 1989, 2381, 2772, 3163, 3554, 3946, 4336, 4728, 5120, 5512, 5904]","[(2, 10), [2, 9], [2, 8], [2, 7], [2, 6], [2, 5], [2, 4], [2, 3], [3, 3], [3, 2], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [8, 1]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],0,"(2, 10)","(8, 1)","(11, 4)",2
10,softmaxBeta2.5_10,"[392, 785, 1183, 1618, 2004, 2391, 2781, 3173, 3560, 3953, 4344, 4738, 5131, 5524, 5947, 6336, 6729, 7120]","[(13, 1), [12, 1], [12, 2], [12, 3], [12, 4], [12, 5], [12, 6], [12, 7], [11, 7], [10, 7], [10, 8], [10, 9], [9, 9], [8, 9], [7, 9], [7, 10], [7, 11], [7, 12], [7, 13]]","[(-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[],0,"(13, 1)","(7, 13)","(1, 7)",4
11,softmaxBeta2.5_10,"[392, 780, 1169, 1581, 1975, 2364, 2753, 3142, 3533, 3922, 4312, 4705, 5096, 5486, 5876, 6265]","[(2, 1), [3, 1], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2], [8, 2], [9, 2], [9, 3], [10, 3], [11, 3], [12, 3], [12, 4], [12, 5], [12, 6], [12, 7]]","[(1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[],0,"(2, 1)","(12, 7)","(8, 11)",4
12,softmaxBeta2.5_10,"[398, 791, 1189, 1603, 2000, 2396, 2790, 3185, 3578, 3972, 4369, 4765, 5159, 5555, 5950, 6346, 6742]","[(2, 2), [2, 3], [2, 4], [3, 4], [4, 4], [4, 5], [4, 6], [4, 7], [4, 8], [5, 8], [6, 8], [6, 9], [7, 9], [7, 10], [8, 10], [8, 11], [8, 12], [8, 13]]","[(0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1)]",[],0,"(2, 2)","(13, 8)","(8, 13)",6
13,softmaxBeta2.5_10,"[390, 779, 1170, 1576, 1970, 2358, 2746, 3134, 3553, 3942, 4331, 4721, 5111, 5501, 5892]","[(13, 2), [13, 3], [12, 3], [12, 4], [11, 4], [10, 4], [9, 4], [8, 4], [7, 4], [6, 4], [5, 4], [4, 4], [4, 5], [4, 6], [4, 7], [4, 8]]","[(0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[],0,"(13, 2)","(7, 11)","(4, 8)",6
14,softmaxBeta2.5_10,"[396, 789, 1186, 1596, 1995, 2386, 2779, 3174, 3567, 3957, 4349, 4743, 5134, 5525, 5915, 6305, 6697]","[(12, 13), [12, 12], [12, 11], [11, 11], [11, 10], [11, 9], [11, 8], [11, 7], [11, 6], [10, 6], [10, 5], [10, 4], [9, 4], [8, 4], [8, 3], [8, 2], [7, 2], [6, 2]]","[(0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0)]",[],0,"(12, 13)","(1, 7)","(6, 2)",4
15,softmaxBeta2.5_10,"[392, 781, 1176, 1582, 1977, 2366, 2754, 3145, 3534, 3925, 4315, 4704, 5126, 5515, 5907, 6298, 6687]","[(13, 13), [12, 13], [11, 13], [10, 13], [9, 13], [8, 13], [7, 13], [6, 13], [6, 12], [6, 11], [5, 11], [4, 11], [4, 10], [3, 10], [2, 10], [2, 9], [2, 8], [2, 7]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1)]",[],0,"(13, 13)","(2, 7)","(7, 2)",2
16,softmaxBeta2.5_10,"[393, 783, 1175, 1584, 1977, 2367, 2754, 3143, 3531, 3922, 4314, 4702, 5089, 5480, 5869]","[(12, 12), [12, 11], [12, 10], [11, 10], [11, 9], [11, 8], [11, 7], [11, 6], [11, 5], [10, 5], [9, 5], [8, 5], [7, 5], [7, 4], [6, 4], [6, 3]]","[(0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1)]",[],0,"(12, 12)","(3, 6)","(6, 3)",4
