,name,reactionTime,trajectory,aimAction,noisePoint,noiseNumber,playerGrid,target1,target2,minSteps
0,noise0_softmaxBeta2.5_7,"[434, 1010, 1450, 1969, 2409, 2847, 3283, 3719, 4188, 4660, 5161, 5604, 6053]","[(5, 13), [5, 12], [6, 12], [7, 12], [7, 11], [7, 10], [7, 9], [8, 9], [9, 9], [9, 8], [10, 8], [11, 8], [12, 8], [13, 8]]","[(0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],0,"(5, 13)","(10, 5)","(13, 8)",10
1,noise0_softmaxBeta2.5_7,"[449, 895, 1355, 1821, 2266, 2708, 3152, 3593, 4037, 4479, 4912, 5367, 5787, 6197, 6630]","[(12, 2), [11, 2], [10, 2], [10, 3], [10, 4], [9, 4], [8, 4], [8, 5], [8, 6], [7, 6], [6, 6], [5, 6], [5, 7], [4, 7], [3, 7], [2, 7]]","[(-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0)]",[],0,"(12, 2)","(7, 12)","(2, 7)",6
2,noise0_softmaxBeta2.5_7,"[436, 919, 1350, 1788, 2205, 2723, 3213, 3669, 4076, 4499, 4932, 5348, 5777, 6209, 6608]","[(3, 11), [4, 11], [5, 11], [5, 10], [6, 10], [6, 9], [6, 8], [6, 7], [7, 7], [7, 6], [8, 6], [8, 5], [8, 4], [8, 3], [8, 2], [8, 1]]","[(1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],0,"(3, 11)","(8, 1)","(13, 6)",4
3,noise0_softmaxBeta2.5_7,"[395, 823, 1234, 1667, 2081, 2494, 2904, 3313, 3738, 4170, 4597, 5024, 5436]","[(13, 5), [12, 5], [12, 6], [12, 7], [12, 8], [11, 8], [10, 8], [10, 9], [9, 9], [8, 9], [7, 9], [6, 9], [5, 9], [5, 10]]","[(-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]",[],0,"(13, 5)","(8, 13)","(5, 10)",4
4,noise0_softmaxBeta2.5_7,"[436, 866, 1315, 1755, 2189, 2610, 3021, 3441, 3925, 4343, 4771, 5201, 5612, 6029]","[(11, 11), [10, 11], [9, 11], [9, 10], [9, 9], [9, 8], [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [3, 6], [2, 6]]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0)]",[],0,"(11, 11)","(2, 6)","(6, 2)",10
5,noise0_softmaxBeta2.5_7,"[419, 841, 1308, 1771, 2198, 2611, 3043, 3462, 3870, 4296, 4709, 5156, 5570, 5985, 6406, 6860]","[(12, 2), [12, 3], [12, 4], [12, 5], [12, 6], [12, 7], [12, 8], [11, 8], [11, 9], [11, 10], [10, 10], [10, 11], [10, 12], [10, 13], [9, 13], [8, 13], [7, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0)]",[],0,"(12, 2)","(7, 13)","(1, 7)",2
6,noise0_softmaxBeta2.5_7,"[421, 842, 1293, 1743, 2180, 2609, 3051, 3469, 3914, 4334, 4752, 5166, 5590, 6062, 6491]","[(3, 2), [4, 2], [5, 2], [5, 3], [5, 4], [6, 4], [7, 4], [7, 5], [7, 6], [8, 6], [9, 6], [9, 7], [10, 7], [11, 7], [12, 7], [13, 7]]","[(1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],0,"(3, 2)","(13, 7)","(8, 12)",10
7,noise0_softmaxBeta2.5_7,"[433, 864, 1296, 1751, 2199, 2631, 3059, 3500, 3953, 4362, 4773, 5182, 5619, 6047, 6477]","[(13, 3), [13, 4], [13, 5], [12, 5], [12, 6], [12, 7], [12, 8], [12, 9], [11, 9], [10, 9], [9, 9], [9, 10], [9, 11], [9, 12], [9, 13], [8, 13]]","[(0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0)]",[],0,"(13, 3)","(8, 13)","(3, 8)",4
8,noise0_softmaxBeta2.5_7,"[416, 822, 1235, 1683, 2100, 2521, 2974, 3388, 3832, 4247, 4666, 5095, 5508, 5911, 6322]","[(1, 2), [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [3, 11], [3, 12], [4, 12], [5, 12], [6, 12]]","[(1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0)]",[],0,"(1, 2)","(11, 7)","(6, 12)",4
9,noise0_softmaxBeta2.5_7,"[445, 881, 1313, 1771, 2190, 2608, 3028, 3452, 3930, 4382, 4818, 5248, 5668, 6110]","[(4, 2), [4, 3], [5, 3], [5, 4], [6, 4], [6, 5], [7, 5], [8, 5], [8, 6], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [13, 7]]","[(0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],0,"(4, 2)","(13, 7)","(9, 11)",10
