,name,reactionTime,trajectory,aimAction,noisePoint,noiseNumber,playerGrid,target1,target2,minSteps
0,noise0_softmaxBeta2.5_3,"[417, 828, 1250, 1688, 2102, 2515, 2928, 3343, 3754, 4168, 4582, 4995, 5408]","[(4, 11), [5, 11], [6, 11], [6, 10], [6, 9], [7, 9], [7, 8], [7, 7], [8, 7], [9, 7], [9, 6], [10, 6], [11, 6], [12, 6]]","[(1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0)]",[],0,"(4, 11)","(9, 3)","(12, 6)",10
1,noise0_softmaxBeta2.5_3,"[410, 812, 1253, 1677, 2077, 2475, 2875, 3277, 3675, 4074, 4470, 4875, 5276]","[(1, 13), [2, 13], [3, 13], [3, 12], [3, 11], [4, 11], [5, 11], [5, 10], [5, 9], [6, 9], [7, 9], [7, 8], [8, 8], [9, 8]]","[(1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0)]",[],0,"(1, 13)","(6, 5)","(9, 8)",10
2,noise0_softmaxBeta2.5_3,"[416, 828, 1251, 1687, 2103, 2524, 2942, 3359, 3773, 4189, 4608, 5023, 5439, 5856, 6273]","[(12, 11), [11, 11], [11, 10], [10, 10], [10, 9], [10, 8], [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [6, 6], [5, 6], [4, 6], [3, 6], [2, 6]]","[(-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],0,"(12, 11)","(2, 6)","(7, 1)",10
3,noise0_softmaxBeta2.5_3,"[418, 833, 1259, 1725, 2137, 2550, 2961, 3373, 3785, 4199, 4609, 5020, 5432]","[(1, 10), [1, 9], [1, 8], [2, 8], [3, 8], [3, 7], [3, 6], [3, 5], [3, 4], [4, 4], [4, 3], [4, 2], [5, 2], [6, 2]]","[(0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0)]",[],0,"(1, 10)","(6, 2)","(9, 5)",6
4,noise0_softmaxBeta2.5_3,"[416, 830, 1253, 1684, 2096, 2508, 2922, 3333, 3748, 4160, 4573, 4985, 5396, 5808, 6222]","[(1, 11), [2, 11], [3, 11], [4, 11], [5, 11], [6, 11], [7, 11], [8, 11], [8, 10], [9, 10], [9, 9], [10, 9], [10, 8], [10, 7], [10, 6], [11, 6]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0)]",[],0,"(1, 11)","(6, 1)","(11, 6)",2
5,noise0_softmaxBeta2.5_3,"[423, 844, 1270, 1711, 2124, 2544, 2961, 3379, 3792, 4203, 4616, 5030, 5444, 5857, 6274, 6688]","[(2, 2), [2, 3], [3, 3], [4, 3], [5, 3], [5, 4], [5, 5], [6, 5], [6, 6], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [13, 7]]","[(0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],0,"(2, 2)","(13, 7)","(7, 13)",4
6,noise0_softmaxBeta2.5_3,"[420, 839, 1266, 1707, 2125, 2542, 2961, 3378, 3795, 4214, 4630, 5048, 5464, 5883, 6299]","[(11, 11), [11, 10], [10, 10], [10, 9], [10, 8], [9, 8], [8, 8], [7, 8], [7, 7], [6, 7], [5, 7], [4, 7], [4, 6], [3, 6], [2, 6], [1, 6]]","[(0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0)]",[],0,"(11, 11)","(1, 6)","(6, 1)",4
7,noise0_softmaxBeta2.5_3,"[416, 830, 1249, 1684, 2097, 2512, 2922, 3363, 3775, 4189, 4604, 5019, 5430, 5846]","[(13, 3), [13, 4], [12, 4], [11, 4], [11, 5], [10, 5], [9, 5], [9, 6], [9, 7], [9, 8], [9, 9], [9, 10], [8, 10], [8, 11], [8, 12]]","[(0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1)]",[],0,"(13, 3)","(8, 12)","(4, 8)",10
8,noise0_softmaxBeta2.5_3,"[419, 836, 1262, 1701, 2118, 2535, 2951, 3365, 3784, 4201, 4616, 5034, 5449, 5865]","[(11, 11), [10, 11], [9, 11], [8, 11], [7, 11], [6, 11], [5, 11], [5, 10], [5, 9], [5, 8], [4, 8], [3, 8], [3, 7], [2, 7], [2, 6]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1)]",[],0,"(11, 11)","(2, 6)","(6, 2)",2
9,noise0_softmaxBeta2.5_3,"[415, 827, 1249, 1690, 2107, 2524, 2942, 3360, 3776, 4193, 4609, 5026, 5442, 5860, 6277]","[(3, 1), [4, 1], [5, 1], [6, 1], [7, 1], [8, 1], [9, 1], [9, 2], [9, 3], [10, 3], [11, 3], [12, 3], [13, 3], [13, 4], [13, 5], [13, 6]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1)]",[],0,"(3, 1)","(13, 6)","(8, 11)",2
10,noise0_softmaxBeta2.5_3,"[414, 824, 1240, 1669, 2079, 2518, 2928, 3338, 3747, 4154, 4568, 4977, 5385]","[(1, 11), [2, 11], [3, 11], [3, 10], [4, 10], [5, 10], [6, 10], [7, 10], [8, 10], [8, 9], [9, 9], [9, 8], [9, 7], [9, 6]]","[(1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1)]",[],0,"(1, 11)","(6, 3)","(9, 6)",4
11,noise0_softmaxBeta2.5_3,"[420, 836, 1264, 1701, 2117, 2534, 2951, 3368, 3783, 4200, 4615, 5032, 5449]","[(11, 5), [10, 5], [9, 5], [8, 5], [7, 5], [6, 5], [5, 5], [4, 5], [4, 6], [3, 6], [3, 7], [3, 8], [3, 9], [3, 10]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[],0,"(11, 5)","(6, 13)","(3, 10)",2
12,noise0_softmaxBeta2.5_3,"[415, 828, 1252, 1687, 2098, 2507, 2918, 3328, 3736, 4142, 4552, 4961, 5371, 5780]","[(3, 12), [3, 11], [3, 10], [4, 10], [5, 10], [5, 9], [6, 9], [6, 8], [7, 8], [8, 8], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7]]","[(0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],0,"(3, 12)","(8, 3)","(12, 7)",2
13,noise0_softmaxBeta2.5_3,"[408, 812, 1259, 1690, 2101, 2512, 2923, 3334, 3744, 4155, 4565, 4976, 5386]","[(12, 3), [12, 4], [12, 5], [11, 5], [10, 5], [10, 6], [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [6, 8], [5, 8], [4, 8]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0)]",[],0,"(12, 3)","(7, 11)","(4, 8)",10
14,noise0_softmaxBeta2.5_3,"[413, 823, 1240, 1675, 2088, 2498, 2908, 3318, 3725, 4129, 4534, 4938, 5343, 5749, 6154]","[(12, 13), [12, 12], [12, 11], [11, 11], [10, 11], [9, 11], [8, 11], [8, 10], [8, 9], [8, 8], [7, 8], [7, 7], [7, 6], [7, 5], [7, 4], [7, 3]]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],0,"(12, 13)","(2, 8)","(7, 3)",6
15,noise0_softmaxBeta2.5_3,"[412, 823, 1244, 1680, 2095, 2541, 2955, 3369, 3784, 4198, 4611, 5025, 5441, 5856, 6270, 6683]","[(13, 2), [13, 3], [13, 4], [12, 4], [11, 4], [11, 5], [10, 5], [10, 6], [9, 6], [8, 6], [7, 6], [6, 6], [5, 6], [5, 7], [4, 7], [3, 7], [2, 7]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0)]",[],0,"(13, 2)","(8, 13)","(2, 7)",2
16,noise0_softmaxBeta2.5_3,"[415, 829, 1251, 1684, 2096, 2507, 2918, 3328, 3740, 4149, 4593, 5006, 5419, 5834]","[(13, 4), [13, 5], [12, 5], [12, 6], [12, 7], [11, 7], [10, 7], [9, 7], [8, 7], [8, 8], [7, 8], [7, 9], [6, 9], [5, 9], [4, 9]]","[(0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0)]",[],0,"(13, 4)","(8, 13)","(4, 9)",4
17,noise0_softmaxBeta2.5_3,"[416, 829, 1249, 1682, 2093, 2504, 2917, 3332, 3743, 4153, 4565, 5006, 5421, 5835, 6249, 6666]","[(1, 1), [1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [2, 8], [2, 9], [2, 10], [3, 10], [3, 11], [3, 12], [4, 12], [5, 12], [6, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]",[],0,"(1, 1)","(12, 6)","(6, 12)",2
18,noise0_softmaxBeta2.5_3,"[414, 823, 1245, 1679, 2090, 2500, 2910, 3321, 3733, 4143, 4555, 4964, 5373, 5782]","[(12, 12), [12, 11], [12, 10], [11, 10], [10, 10], [9, 10], [8, 10], [8, 9], [8, 8], [7, 8], [7, 7], [7, 6], [7, 5], [7, 4], [7, 3]]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1)]",[],0,"(12, 12)","(3, 7)","(7, 3)",10
19,noise0_softmaxBeta2.5_3,"[422, 838, 1266, 1702, 2115, 2529, 2972, 3385, 3801, 4216, 4630, 5042, 5456]","[(1, 9), [1, 8], [1, 7], [1, 6], [1, 5], [1, 4], [1, 3], [1, 2], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[],0,"(1, 9)","(6, 1)","(9, 4)",2
20,noise0_softmaxBeta2.5_3,"[420, 834, 1258, 1696, 2113, 2531, 2947, 3362, 3775, 4188, 4601, 5016, 5430, 5843, 6255]","[(3, 2), [3, 3], [4, 3], [4, 4], [5, 4], [6, 4], [6, 5], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [8, 12]]","[(0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0)]",[],0,"(3, 2)","(13, 7)","(8, 12)",10
21,noise0_softmaxBeta2.5_3,"[418, 834, 1261, 1727, 2138, 2551, 2964, 3375, 3784, 4195, 4607, 5025, 5439, 5858, 6271]","[(12, 2), [12, 3], [11, 3], [10, 3], [9, 3], [9, 4], [9, 5], [9, 6], [8, 6], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12]]","[(0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[],0,"(12, 2)","(7, 12)","(2, 7)",4
22,noise0_softmaxBeta2.5_3,"[415, 825, 1243, 1670, 2079, 2490, 2900, 3309, 3719, 4127, 4537, 4946, 5355]","[(12, 12), [12, 11], [12, 10], [11, 10], [11, 9], [11, 8], [11, 7], [11, 6], [10, 6], [9, 6], [8, 6], [8, 5], [7, 5], [7, 4]]","[(0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1)]",[],0,"(12, 12)","(4, 7)","(7, 4)",4
23,noise0_softmaxBeta2.5_3,"[418, 833, 1258, 1689, 2105, 2521, 2934, 3348, 3761, 4175, 4587, 5001, 5414, 5829, 6242, 6656]","[(1, 12), [2, 12], [3, 12], [3, 11], [4, 11], [4, 10], [4, 9], [5, 9], [6, 9], [6, 8], [7, 8], [8, 8], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7]]","[(1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]",[],0,"(1, 12)","(6, 1)","(12, 7)",4
