,Unnamed: 0,aimAction,aimPlayerGridList,avoidCommitPoint,conditionName,crossPoint,decisionSteps,goal,name,noiseNumber,noisePoint,obstacles,playerGrid,reactionTime,target1,target2,targetDiff,trajectory,participantsType,trajLength,goalPosteriorList
127,127,"[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0)]","[(14, 11), (14, 10), (14, 9), (14, 8), (14, 7), (14, 6), (14, 5), (13, 5), (12, 5), (11, 5)]","(13, 12)",expCondition1,"(11, 11)",0,"[0, 2, 2, 2, 2, 2, 2, 0, 0, 0]",baomian-m-22,0,[],"[(13, 13), (13, 11), (11, 13), (4, 10), (3, 3), (9, 4), (13, 14), (9, 10), (9, 8), (8, 5), (8, 6), (9, 2), (5, 5), (10, 13), (5, 8), (11, 1), (9, 5), (13, 13)]","(14, 12)","[943, 1151, 1375, 1575, 1791, 2015, 2255, 2711, 2903, 3119]","(5, 11)","(11, 5)",0,"[(14, 12), [14, 11], [14, 10], [14, 9], [14, 8], [14, 7], [14, 6], [14, 5], [13, 5], [12, 5], [11, 5]]",Human,11,"[0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
132,132,"[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0)]","[(1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 5), (2, 6), (2, 7), (2, 8), (2, 9), (2, 10), (3, 10), (4, 10), (5, 10)]","(4, 4)",expCondition1,"(5, 5)",6,"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0]",baomian-m-22,0,[],"[(3, 3), (4, 0), (3, 1), (3, 5), (5, 3), (1, 3), (0, 4), (11, 1), (6, 12), (13, 8), (11, 12), (13, 2), (6, 6), (10, 9), (11, 11), (5, 13), (12, 5), (13, 5)]","(0, 0)","[1094, 1398, 1702, 1910, 2110, 2286, 2486, 2686, 2894, 3086, 3310, 3550, 3886, 4102, 4286]","(10, 5)","(5, 10)",0,"[(0, 0), [1, 0], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [3, 10], [4, 10], [5, 10]]",Human,16,"[0.5, 0.4998951093579166, 0.49662210807292584, 0.4966221079390149, 0.4966221079211392, 0.8816013864251543, 0.881601386438841, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
133,133,"[(1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1)]","[(1, 0), (1, 1), (1, 2), (1, 3), (1, 4), (1, 5), (1, 6), (1, 7), (1, 8), (1, 9), (2, 9), (3, 8), (4, 8), (5, 8), (5, 9)]","(3, 3)",expCondition2,"(5, 5)",4,"[0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 2]",baomian-m-22,1,[11],"[(2, 2), (2, 0), (2, 4), (0, 2), (4, 2), (2, 5), (5, 2), (1, 13), (1, 12), (10, 5), (4, 10), (13, 4), (11, 11), (8, 9), (10, 11), (3, 12), (7, 6), (12, 11)]","(0, 0)","[1175, 1359, 1583, 1775, 1983, 2191, 2399, 2631, 2975, 3303, 3647, 3863, 4071, 4343, 4655]","(9, 5)","(5, 9)",0,"[(0, 0), [1, 0], [1, 1], [1, 2], [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [1, 9], [2, 8], [3, 8], [4, 8], [5, 8], [5, 9]]",Human,16,"[0.5, 0.49525327521108764, 0.49525327515691403, 0.7812165827069484, 0.7812165828802576, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
138,138,"[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0)]","[(0, 12), (0, 11), (0, 10), (0, 9), (0, 8), (0, 8), (0, 7), (0, 6), (0, 5), (1, 5), (2, 5), (3, 5), (4, 5)]","(1, 12)",expCondition2,"(4, 10)",1,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",baomian-m-22,1,[5],"[(1, 13), (3, 13), (1, 11), (4, 13), (1, 10), (12, 2), (13, 1), (9, 4), (1, 3), (1, 14), (8, 2), (13, 9), (9, 2), (9, 5), (10, 14), (10, 7), (10, 1), (8, 1)]","(0, 13)","[886, 1070, 1254, 1454, 1654, 1886, 2086, 2310, 2630, 2926, 3134, 3342, 3582]","(4, 5)","(9, 10)",0,"[(0, 13), [0, 12], [0, 11], [0, 10], [0, 9], [0, 9], [0, 8], [0, 7], [0, 6], [0, 5], [1, 5], [2, 5], [3, 5], [4, 5]]",Human,14,"[0.5, 0.5000000020868117, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
142,142,"[(-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]","[(13, 14), (13, 13), (14, 13), (14, 12), (13, 13), (12, 13), (11, 13), (10, 13), (10, 12), (10, 12), (11, 11), (11, 10), (10, 10), (9, 10), (8, 10), (7, 10), (6, 10), (5, 10)]","(11, 11)",expCondition1,"(10, 10)",4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]",baomian-m-22,2,"[2, 8]","[(12, 12), (12, 14), (12, 10), (14, 12), (10, 12), (3, 7), (4, 4), (7, 1), (8, 7), (14, 4), (9, 1), (9, 7), (7, 4), (4, 8), (9, 6), (6, 5), (2, 8), (11, 2)]","(14, 14)","[1078, 1342, 1534, 1710, 2111, 2359, 2559, 2743, 2919, 3103, 3471, 3679, 4087, 4287, 4479, 4663, 4863, 5071]","(5, 10)","(10, 5)",0,"[(14, 14), [13, 14], [14, 14], [14, 13], [14, 13], [13, 13], [12, 13], [11, 13], [11, 12], [11, 12], [11, 12], [11, 11], [11, 10], [10, 10], [9, 10], [8, 10], [7, 10], [6, 10], [5, 10]]",Human,19,"[0.5, 0.5074140267463637, 0.5074140268436382, 0.5000092766447581, 0.5003181563959073, 0.5003181563758674, 0.8891162372682023, 0.8891162372818727, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
143,143,"[(0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]","[(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1), (6, 1), (7, 1), (8, 1), (9, 1), (10, 1), (11, 1), (11, 2), (11, 3), (11, 4), (11, 5)]","(3, 3)",expCondition2,"(5, 5)",4,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",baomian-m-22,0,[],"[(2, 2), (2, 0), (2, 4), (0, 2), (4, 2), (2, 5), (5, 2), (10, 10), (12, 0), (7, 11), (3, 13), (0, 12), (3, 12), (7, 13), (6, 11), (9, 13), (7, 7), (1, 12)]","(0, 0)","[774, 1142, 1446, 1638, 1830, 2022, 2222, 2430, 2662, 2878, 3102, 3494, 3726, 3934, 4150, 4398]","(11, 5)","(5, 11)",0,"[(0, 0), [0, 1], [1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [8, 1], [9, 1], [10, 1], [11, 1], [11, 2], [11, 3], [11, 4], [11, 5]]",Human,17,"[0.5, 0.4962646791434318, 0.4962646794510331, 0.7313045646148641, 0.7313045746132718, 0.9999999999999997, 0.9999999999999999, 0.9999999999999999, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
144,144,"[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1)]","[(13, 0), (12, 0), (11, 0), (11, 0), (10, 0), (9, 0), (8, 0), (7, 0), (6, 0), (6, 1), (6, 2), (6, 3)]","(12, 2)",expCondition1,"(11, 3)",2,"[0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0]",baomian-m-22,1,[3],"[(13, 1), (11, 1), (13, 3), (2, 2), (11, 13), (8, 4), (12, 12), (4, 2), (5, 0), (5, 9), (9, 9), (4, 9), (9, 13), (7, 10), (9, 12), (4, 10), (14, 9), (3, 10)]","(14, 0)","[1198, 1358, 1550, 1750, 1950, 2150, 2366, 2574, 2814, 3110, 3310, 3526]","(11, 8)","(6, 3)",0,"[(14, 0), [13, 0], [12, 0], [12, 0], [11, 0], [10, 0], [9, 0], [8, 0], [7, 0], [6, 0], [6, 1], [6, 2], [6, 3]]",Human,13,"[0.5, 0.7832418402636009, 0.7832418402798949, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
146,146,"[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0)]","[(13, 0), (12, 0), (11, 0), (10, 0), (11, 1), (11, 1), (12, 2), (12, 3), (12, 4), (12, 5), (12, 6), (12, 7), (12, 8), (12, 9), (11, 9)]","(12, 2)",expCondition1,"(11, 3)",2,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",baomian-m-22,1,[4],"[(13, 1), (11, 1), (13, 3), (5, 11), (5, 12), (2, 12), (2, 11), (14, 10), (2, 8), (12, 11), (13, 10), (4, 2), (5, 10), (3, 5), (3, 6), (11, 12), (6, 13), (1, 9)]","(14, 0)","[1022, 1197, 1397, 1574, 1766, 1981, 2229, 2469, 2661, 2837, 3038, 3262, 3502, 3774, 4110]","(11, 9)","(5, 3)",0,"[(14, 0), [13, 0], [12, 0], [11, 0], [12, 1], [12, 1], [12, 1], [12, 2], [12, 3], [12, 4], [12, 5], [12, 6], [12, 7], [12, 8], [12, 9], [11, 9]]",Human,16,"[0.5, 0.24247423610297505, 0.2424742359069031, 3.7046825692500266e-20, 2.9786271177252215e-20, 3.1825289027250957e-20, 3.400388775220623e-20, 3.400388775214717e-20, 7.91237107261992e-17, 0.9999999985403959, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
147,147,"[(0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1)]","[(0, 1), (0, 2), (1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2), (7, 2), (8, 2), (9, 3), (10, 3), (10, 4), (11, 4), (10, 3), (10, 4), (10, 5), (10, 6)]","(4, 4)",expCondition2,"(6, 6)",6,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",baomian-m-22,2,"[10, 13]","[(3, 3), (4, 0), (3, 1), (3, 5), (5, 3), (1, 3), (0, 4), (3, 6), (6, 3), (12, 9), (12, 5), (10, 9), (9, 7), (0, 13), (6, 11), (8, 7), (11, 5), (11, 4)]","(0, 0)","[966, 1238, 1614, 1822, 2022, 2214, 2438, 2638, 2854, 3070, 3302, 3574, 4046, 4262, 4670, 5054, 5262, 5478]","(10, 6)","(6, 10)",0,"[(0, 0), [0, 1], [0, 2], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2], [8, 3], [9, 3], [10, 3], [11, 3], [11, 3], [10, 3], [10, 4], [10, 5], [10, 6]]",Human,19,"[0.5, 0.4999308075391146, 0.49809680451332966, 0.4980967980544983, 0.4980967968912698, 0.7847692814758974, 0.7847692816213707, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
159,159,"[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]","[(1, 14), (2, 14), (3, 14), (4, 14), (5, 14), (6, 14), (7, 14), (8, 14), (9, 14), (10, 14), (10, 13), (10, 12), (10, 11), (10, 10)]","(2, 12)",expCondition2,"(4, 10)",2,"[0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0]",baomian-m-22,0,[],"[(1, 13), (3, 13), (1, 11), (4, 13), (1, 10), (12, 3), (5, 8), (2, 1), (9, 4), (4, 2), (9, 5), (0, 3), (0, 2), (10, 7), (7, 7), (13, 13), (6, 1), (0, 1)]","(0, 14)","[1054, 1262, 1470, 1694, 1886, 2094, 2318, 2550, 2758, 2982, 3454, 3638, 3814, 3990]","(4, 4)","(10, 10)",0,"[(0, 14), [1, 14], [2, 14], [3, 14], [4, 14], [5, 14], [6, 14], [7, 14], [8, 14], [9, 14], [10, 14], [10, 13], [10, 12], [10, 11], [10, 10]]",Human,15,"[0.5, 0.6967482941582944, 0.6967483039759326, 0.9999999999999991, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
