,name,reactionTime,trajectory,aimAction,noisePoint,noiseNumber,playerGrid,target1,target2,minSteps
0,noise0.1_softmaxBeta2.5_5,"[467, 935, 1416, 1890, 2389, 2873, 3332, 3823, 4294, 4760, 5231, 5709, 6190, 6705]","[(13, 9), [13, 8], [13, 7], [12, 7], [11, 7], [10, 7], [10, 6], [10, 5], [9, 5], [10, 4], [10, 3], [10, 2], [9, 2], [9, 1], [8, 1]]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0)]",[9],1,"(13, 9)","(5, 4)","(8, 1)",2
1,noise0.1_softmaxBeta2.5_5,"[488, 966, 1457, 1927, 2433, 2930, 3445, 3929, 4410, 4887, 5390, 5902, 6398, 6885, 7354, 7808, 8319, 8799]","[(1, 1), [2, 1], [2, 2], [2, 3], [3, 3], [3, 2], [3, 3], [4, 3], [5, 3], [6, 3], [7, 3], [7, 4], [8, 4], [9, 4], [9, 5], [10, 5], [11, 5], [12, 5], [12, 6]]","[(1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1)]",[5],1,"(1, 1)","(12, 6)","(6, 12)",6
2,noise0.1_softmaxBeta2.5_5,"[490, 965, 1452, 1928, 2385, 2849, 3330, 3812, 4287, 4751, 5254, 5817, 6330, 6830, 7320, 7811, 8305]","[(13, 2), [13, 3], [13, 4], [13, 5], [14, 5], [14, 6], [14, 7], [13, 7], [13, 8], [13, 9], [12, 9], [12, 10], [12, 11], [11, 11], [10, 11], [9, 11], [8, 11], [8, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]",[4],1,"(13, 2)","(8, 12)","(3, 7)",2
3,noise0.1_softmaxBeta2.5_5,"[503, 1000, 1517, 2019, 2521, 3020, 3526, 4030, 4532, 5060, 5592, 6156, 6648, 7150, 7650]","[(3, 11), [3, 10], [4, 10], [5, 10], [5, 9], [5, 8], [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [11, 7], [12, 7], [12, 6], [13, 6]]","[(0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0)]",[],0,"(3, 11)","(8, 1)","(13, 6)",10
4,noise0.1_softmaxBeta2.5_5,"[495, 945, 1431, 1975, 2485, 2972, 3444, 3907, 4399, 4894, 5357, 5863, 6334, 6817, 7265, 7712, 8161, 8610]","[(13, 1), [12, 1], [11, 1], [11, 2], [11, 3], [11, 4], [10, 4], [10, 3], [9, 3], [9, 4], [9, 5], [9, 6], [9, 7], [9, 8], [9, 9], [9, 10], [9, 11], [9, 12], [8, 12]]","[(-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0)]","[2, 7]",2,"(13, 1)","(8, 12)","(2, 6)",10
5,noise0.1_softmaxBeta2.5_5,"[468, 931, 1411, 1887, 2357, 2814, 3272, 3731, 4191, 4645, 5100, 5582, 6042, 6497, 6980, 7437]","[(10, 10), [9, 10], [9, 9], [9, 8], [8, 8], [7, 8], [6, 8], [6, 7], [6, 8], [6, 7], [6, 6], [6, 5], [6, 4], [6, 3], [6, 2], [6, 1], [5, 1]]","[(-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0)]",[8],1,"(10, 10)","(1, 5)","(5, 1)",10
6,noise0.1_softmaxBeta2.5_5,"[467, 924, 1411, 1985, 2447, 2965, 3478, 3935, 4431, 4904, 5388, 5862, 6334, 6827, 7289]","[(3, 10), [3, 9], [3, 8], [4, 8], [4, 7], [5, 7], [6, 7], [7, 7], [8, 7], [8, 6], [7, 5], [7, 4], [7, 3], [7, 2], [7, 1], [8, 1]]","[(0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0)]",[10],1,"(3, 10)","(8, 1)","(12, 5)",4
7,noise0.1_softmaxBeta2.5_5,"[453, 903, 1404, 1878, 2335, 2785, 3234, 3679, 4125, 4572, 5023, 5471, 5920, 6368]","[(1, 2), [2, 2], [2, 3], [3, 3], [4, 3], [4, 4], [4, 5], [4, 6], [5, 6], [6, 6], [7, 6], [8, 6], [9, 6], [9, 7], [10, 7]]","[(1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0)]",[],0,"(1, 2)","(10, 7)","(6, 11)",4
8,noise0.1_softmaxBeta2.5_5,"[454, 918, 1404, 1917, 2378, 2835, 3289, 3742, 4197, 4653, 5126, 5601, 6065, 6520, 6974, 7429]","[(1, 13), [2, 14], [3, 13], [4, 13], [5, 13], [6, 13], [7, 13], [7, 12], [7, 11], [7, 10], [7, 9], [8, 9], [9, 9], [10, 9], [11, 9], [12, 9], [12, 8]]","[(0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]","[1, 2]",2,"(1, 13)","(6, 2)","(12, 8)",2
9,noise0.1_softmaxBeta2.5_5,"[459, 914, 1388, 1863, 2317, 2775, 3229, 3689, 4143, 4629, 5129, 5619, 6139, 6639, 7126]","[(1, 2), [1, 3], [1, 4], [2, 4], [3, 4], [3, 5], [3, 6], [4, 6], [5, 6], [5, 7], [5, 8], [5, 9], [6, 10], [6, 11], [6, 12], [6, 13]]","[(0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[12],1,"(1, 2)","(12, 7)","(6, 13)",10
10,noise0.1_softmaxBeta2.5_5,"[469, 923, 1447, 1936, 2431, 2992, 3508, 4017, 4506, 4995, 5489, 5979, 6471, 6953]","[(2, 13), [2, 12], [2, 11], [3, 11], [4, 11], [4, 10], [4, 9], [4, 8], [4, 7], [4, 6], [5, 6], [6, 6], [6, 5], [6, 4], [7, 4]]","[(0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0)]",[],0,"(2, 13)","(7, 4)","(11, 8)",6
11,noise0.1_softmaxBeta2.5_5,"[503, 998, 1498, 2065, 2564, 3059, 3554, 4055, 4648, 5133, 5624, 6121, 6602, 7037, 7472, 7905]","[(12, 10), [11, 10], [10, 10], [10, 9], [11, 9], [10, 10], [10, 9], [9, 9], [8, 9], [7, 9], [6, 9], [5, 9], [4, 9], [4, 8], [4, 7], [4, 6], [4, 5]]","[(-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]","[4, 5]",2,"(12, 10)","(4, 5)","(7, 2)",4
12,noise0.1_softmaxBeta2.5_5,"[482, 952, 1516, 1994, 2454, 2964, 3434, 3945, 4492, 4991, 5485, 5949, 6413, 6976, 7469, 7940, 8404]","[(1, 12), [1, 11], [2, 11], [2, 10], [2, 9], [2, 8], [2, 7], [2, 6], [2, 5], [2, 6], [2, 5], [3, 5], [4, 4], [4, 3], [5, 3], [5, 2], [6, 2], [6, 1]]","[(0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1)]","[9, 12]",2,"(1, 12)","(6, 1)","(12, 7)",4
13,noise0.1_softmaxBeta2.5_5,"[461, 924, 1396, 1868, 2331, 2861, 3334, 3790, 4277, 4730, 5184, 5634, 6086, 6537, 6990, 7440]","[(13, 2), [13, 3], [12, 3], [11, 3], [11, 4], [11, 5], [10, 5], [10, 6], [10, 6], [9, 6], [8, 6], [7, 6], [6, 6], [5, 6], [4, 6], [4, 7], [3, 7]]","[(0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0)]",[8],1,"(13, 2)","(8, 12)","(3, 7)",10
14,noise0.1_softmaxBeta2.5_5,"[453, 904, 1373, 1845, 2291, 2737, 3186, 3631, 4078, 4527, 4973, 5417, 5868, 6315, 6764, 7212]","[(13, 13), [13, 12], [13, 11], [12, 11], [11, 11], [11, 10], [11, 9], [10, 9], [9, 9], [9, 8], [9, 7], [9, 6], [9, 5], [9, 4], [9, 3], [8, 3], [8, 2]]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1)]",[],0,"(13, 13)","(2, 8)","(8, 2)",6
15,noise0.1_softmaxBeta2.5_5,"[448, 910, 1373, 1848, 2298, 2753, 3204, 3659, 4112, 4564, 5016, 5469, 5920, 6370, 6823]","[(2, 12), [2, 11], [2, 10], [3, 10], [4, 10], [4, 9], [4, 8], [5, 8], [6, 8], [7, 8], [8, 8], [9, 8], [10, 8], [10, 7], [11, 7], [12, 7]]","[(0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (1, 0)]",[],0,"(2, 12)","(7, 2)","(12, 7)",10
16,noise0.1_softmaxBeta2.5_5,"[456, 912, 1384, 1858, 2311, 2767, 3234, 3728, 4182, 4644, 5103, 5565, 6039, 6521, 6976, 7428, 7883]","[(13, 3), [13, 4], [12, 4], [11, 4], [11, 5], [10, 5], [9, 5], [8, 5], [7, 5], [7, 6], [7, 7], [6, 7], [6, 6], [5, 6], [4, 6], [4, 7], [3, 7], [3, 8]]","[(0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1)]",[12],1,"(13, 3)","(8, 13)","(3, 8)",6
17,noise0.1_softmaxBeta2.5_5,"[453, 904, 1372, 1841, 2289, 2736, 3182, 3629, 4079, 4528, 4982, 5433, 5912, 6361, 6844, 7297]","[(13, 2), [13, 3], [13, 4], [12, 4], [11, 4], [10, 4], [9, 4], [8, 4], [7, 4], [6, 4], [5, 4], [5, 5], [4, 5], [4, 6], [3, 5], [3, 6], [3, 7]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1)]","[9, 14]",2,"(13, 2)","(8, 12)","(3, 7)",6
