,name,reactionTime,trajectory,aimAction,noisePoint,noiseNumber,playerGrid,target1,target2,minSteps
0,noise0.1_softmaxBeta2.5_2,"[497, 955, 1434, 1908, 2368, 2830, 3397, 3858, 4318, 4776, 5234, 5692, 6150, 6608, 7064, 7525, 7984, 8446]","[(12, 12), [12, 13], [11, 13], [10, 13], [10, 12], [10, 11], [10, 10], [9, 10], [8, 10], [8, 9], [7, 9], [7, 8], [6, 8], [5, 8], [4, 8], [3, 8], [2, 8], [1, 8], [1, 7]]","[(0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]",[1],1,"(12, 12)","(1, 7)","(7, 1)",2
1,noise0.1_softmaxBeta2.5_2,"[452, 899, 1360, 1826, 2272, 2723, 3170, 3616, 4064, 4545, 4994, 5443, 5890]","[(11, 13), [10, 13], [10, 12], [9, 12], [9, 11], [9, 10], [9, 9], [8, 9], [7, 9], [6, 9], [5, 9], [4, 9], [4, 8], [3, 8]]","[(-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0)]",[],0,"(11, 13)","(3, 8)","(6, 5)",10
2,noise0.1_softmaxBeta2.5_2,"[456, 910, 1382, 1853, 2307, 2762, 3216, 3671, 4127, 4579, 5034, 5489, 5942, 6397]","[(2, 2), [3, 2], [4, 2], [4, 3], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [7, 6], [8, 6], [9, 6], [10, 7], [11, 7], [12, 7]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]","[7, 12]",2,"(2, 2)","(12, 7)","(7, 12)",2
3,noise0.1_softmaxBeta2.5_2,"[455, 910, 1377, 1845, 2298, 2780, 3231, 3682, 4131, 4583, 5036, 5487, 5940, 6389, 6842, 7293]","[(12, 12), [12, 11], [11, 11], [11, 10], [10, 10], [10, 9], [9, 9], [8, 9], [8, 8], [7, 8], [6, 8], [7, 8], [6, 8], [5, 8], [4, 8], [3, 8], [3, 7]]","[(0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]",[11],1,"(12, 12)","(3, 7)","(7, 3)",10
4,noise0.1_softmaxBeta2.5_2,"[458, 913, 1384, 1854, 2307, 2758, 3211, 3663, 4116, 4572, 5027, 5482, 5934, 6388, 6842, 7296]","[(1, 12), [2, 12], [3, 12], [3, 11], [3, 10], [4, 10], [5, 10], [5, 9], [5, 8], [6, 8], [7, 8], [8, 8], [9, 8], [10, 8], [11, 8], [12, 8], [12, 7]]","[(1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]",[],0,"(1, 12)","(6, 1)","(12, 7)",10
5,noise0.1_softmaxBeta2.5_2,"[453, 904, 1371, 1841, 2332, 2871, 3324, 3777, 4229, 4680, 5133, 5585, 6043, 6503, 6958, 7414, 7871, 8329, 8783, 9237]","[(1, 12), [1, 11], [2, 11], [3, 11], [3, 10], [4, 10], [4, 9], [4, 8], [5, 8], [5, 7], [5, 6], [5, 5], [4, 5], [4, 4], [4, 5], [4, 4], [5, 4], [5, 3], [5, 2], [5, 1], [6, 1]]","[(0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0)]","[12, 14]",2,"(1, 12)","(6, 1)","(12, 7)",10
6,noise0.1_softmaxBeta2.5_2,"[450, 898, 1361, 1829, 2275, 2723, 3170, 3619, 4067, 4518, 4967, 5416, 5866, 6342, 6791]","[(12, 13), [12, 14], [12, 13], [12, 12], [12, 11], [11, 11], [10, 11], [9, 11], [9, 10], [8, 9], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9], [3, 8]]","[(-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]","[1, 9]",2,"(12, 13)","(3, 8)","(7, 4)",10
7,noise0.1_softmaxBeta2.5_2,"[444, 888, 1345, 1809, 2253, 2694, 3136, 3576, 4017, 4461, 4904, 5349, 5792]","[(13, 13), [13, 12], [12, 12], [11, 12], [11, 11], [10, 11], [9, 11], [8, 11], [7, 11], [7, 10], [7, 9], [6, 9], [6, 8], [5, 8]]","[(0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0)]",[],0,"(13, 13)","(5, 8)","(8, 5)",6
8,noise0.1_softmaxBeta2.5_2,"[459, 912, 1384, 1856, 2310, 2761, 3216, 3667, 4121, 4574, 5027, 5483, 5938, 6390, 6842, 7297, 7750, 8206]","[(1, 2), [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2], [7, 3], [7, 4], [8, 4], [8, 5], [9, 5], [9, 6], [10, 6], [10, 7], [10, 6], [11, 6], [12, 6], [12, 7]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1)]",[15],1,"(1, 2)","(12, 7)","(6, 13)",2
9,noise0.1_softmaxBeta2.5_2,"[452, 904, 1371, 1845, 2297, 2749, 3201, 3652, 4105, 4555, 5009, 5463, 5917, 6370, 6824, 7278]","[(1, 2), [1, 3], [1, 4], [1, 5], [1, 6], [1, 7], [1, 8], [1, 9], [2, 9], [2, 10], [3, 10], [4, 10], [4, 11], [4, 12], [5, 12], [6, 12], [6, 13]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1)]",[],0,"(1, 2)","(12, 7)","(6, 13)",2
