,name,reactionTime,trajectory,aimAction,noisePoint,noiseNumber,playerGrid,target1,target2,minSteps
0,noise0.1_softmaxBeta2.5_9,"[512, 1004, 1499, 1988, 2482, 2970, 3459, 3945, 4498, 5019, 5507, 5996, 6566, 7011]","[(3, 2), [4, 2], [4, 3], [5, 3], [5, 4], [6, 4], [7, 4], [8, 4], [9, 4], [9, 5], [9, 6], [10, 6], [11, 6], [12, 6], [12, 7]]","[(1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1)]",[],0,"(3, 2)","(12, 7)","(8, 11)",6
1,noise0.1_softmaxBeta2.5_9,"[466, 924, 1447, 1932, 2416, 2879, 3340, 3801, 4261, 4722, 5184, 5647, 6108, 6569, 7028, 7487]","[(4, 10), [5, 10], [6, 10], [5, 10], [6, 10], [6, 9], [6, 8], [7, 8], [8, 8], [9, 8], [10, 8], [10, 7], [10, 6], [11, 6], [12, 6], [13, 6], [13, 5]]","[(1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1)]",[3],1,"(4, 10)","(9, 1)","(13, 5)",2
2,noise0.1_softmaxBeta2.5_9,"[455, 911, 1381, 1854, 2309, 2794, 3248, 3702, 4155, 4607, 5060, 5512, 5967, 6422, 6875, 7328, 7782, 8236, 8690]","[(2, 12), [2, 11], [3, 11], [4, 11], [4, 10], [4, 11], [4, 10], [5, 10], [6, 10], [5, 10], [6, 10], [6, 9], [6, 8], [7, 8], [8, 8], [9, 8], [10, 8], [11, 8], [11, 7], [12, 7]]","[(0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0)]","[5, 9]",2,"(2, 12)","(7, 2)","(12, 7)",6
3,noise0.1_softmaxBeta2.5_9,"[451, 926, 1399, 1868, 2321, 2773, 3226, 3680, 4132, 4583, 5035, 5488, 5938, 6390, 6841, 7295, 7747, 8201]","[(1, 13), [0, 13], [1, 13], [2, 13], [3, 13], [3, 12], [3, 11], [3, 10], [4, 10], [5, 10], [5, 9], [5, 8], [5, 7], [5, 6], [5, 5], [5, 4], [5, 3], [5, 2], [6, 2]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0)]",[1],1,"(1, 13)","(6, 2)","(12, 8)",10
4,noise0.1_softmaxBeta2.5_9,"[451, 898, 1360, 1824, 2268, 2712, 3159, 3606, 4052, 4500, 4944, 5388, 5836]","[(13, 1), [12, 2], [11, 2], [11, 3], [11, 4], [10, 5], [9, 5], [8, 5], [7, 5], [6, 5], [5, 5], [4, 5], [4, 6], [3, 6]]","[(-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0)]","[1, 5]",2,"(13, 1)","(8, 11)","(3, 6)",10
5,noise0.1_softmaxBeta2.5_9,"[458, 929, 1405, 1872, 2359, 2839, 3338, 3793, 4247, 4729, 5197, 5654, 6114, 6594, 7076]","[(2, 2), [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [3, 9], [3, 10], [4, 10], [4, 11], [5, 11], [6, 11], [7, 11], [7, 12]]","[(0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1)]",[],0,"(2, 2)","(12, 7)","(7, 12)",2
6,noise0.1_softmaxBeta2.5_9,"[472, 949, 1426, 1909, 2365, 2820, 3282, 3739, 4202, 4680, 5135, 5583, 6031, 6480]","[(12, 2), [12, 3], [11, 3], [11, 4], [11, 5], [10, 5], [9, 5], [8, 5], [7, 5], [6, 5], [5, 5], [4, 5], [4, 6], [3, 6], [3, 7]]","[(0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1)]",[8],1,"(12, 2)","(7, 11)","(3, 7)",4
7,noise0.1_softmaxBeta2.5_9,"[502, 958, 1471, 1969, 2468, 2934, 3415, 3879, 4355, 4828, 5307, 5760, 6211]","[(5, 13), [5, 12], [5, 11], [6, 11], [7, 11], [7, 10], [7, 9], [7, 8], [8, 8], [9, 8], [9, 7], [10, 7], [10, 6], [10, 5]]","[(0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1)]",[],0,"(5, 13)","(10, 5)","(13, 8)",2
8,noise0.1_softmaxBeta2.5_9,"[469, 914, 1443, 1920, 2385, 2833, 3289, 3754, 4225, 4678, 5135, 5610, 6062, 6534, 7017, 7465, 8051]","[(12, 12), [12, 11], [12, 10], [11, 10], [10, 10], [9, 10], [9, 9], [8, 9], [7, 9], [6, 10], [5, 11], [5, 10], [5, 9], [4, 9], [3, 9], [3, 8], [2, 8], [2, 7]]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1)]","[9, 10]",2,"(12, 12)","(2, 7)","(7, 2)",2
9,noise0.1_softmaxBeta2.5_9,"[498, 968, 1443, 1905, 2387, 2836, 3327, 3826, 4296, 4754, 5213, 5679, 6156, 6625, 7097]","[(11, 2), [11, 1], [10, 1], [9, 1], [9, 2], [9, 3], [8, 3], [8, 4], [8, 5], [8, 6], [8, 7], [8, 8], [8, 9], [7, 9], [7, 10], [6, 10]]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0)]",[1],1,"(11, 2)","(6, 10)","(3, 7)",4
