,name,reactionTime,trajectory,aimAction,noisePoint,noiseNumber,playerGrid,target1,target2,minSteps
0,noise0.1_softmaxBeta2.5_6,"[458, 901, 1399, 1932, 2424, 2893, 3389, 3854, 4291, 4738, 5251, 5719, 6189, 6704, 7200, 7682]","[(13, 1), [12, 1], [12, 2], [12, 3], [11, 3], [10, 3], [9, 3], [9, 4], [9, 5], [8, 5], [8, 6], [7, 6], [6, 6], [5, 6], [4, 6], [3, 6], [2, 6]]","[(-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0)]",[],0,"(13, 1)","(8, 12)","(2, 6)",10
1,noise0.1_softmaxBeta2.5_6,"[465, 983, 1477, 1951, 2453, 2940, 3500, 4041, 4531, 5022, 5511, 6008]","[(3, 3), [3, 4], [4, 4], [5, 4], [5, 5], [5, 6], [5, 7], [6, 7], [7, 7], [7, 8], [8, 9], [8, 10], [8, 11]]","[(0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]",[10],1,"(3, 3)","(11, 8)","(8, 11)",6
2,noise0.1_softmaxBeta2.5_6,"[480, 961, 1446, 1950, 2435, 2926, 3413, 3901, 4389, 4874, 5389, 5944, 6511, 6981, 7474, 8024]","[(2, 12), [3, 12], [4, 12], [4, 11], [4, 10], [5, 10], [6, 10], [6, 10], [6, 9], [6, 8], [7, 8], [8, 8], [9, 8], [10, 8], [11, 8], [12, 8], [12, 7]]","[(0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]","[1, 7]",2,"(2, 12)","(7, 2)","(12, 7)",10
3,noise0.1_softmaxBeta2.5_6,"[486, 948, 1537, 2018, 2479, 2937, 3391, 3850, 4368, 4842, 5331, 5787, 6315, 6810]","[(11, 10), [10, 10], [10, 9], [10, 8], [10, 7], [9, 7], [8, 7], [8, 6], [8, 5], [7, 5], [7, 4], [7, 3], [7, 2], [6, 2], [6, 1]]","[(-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1)]",[],0,"(11, 10)","(2, 5)","(6, 1)",4
4,noise0.1_softmaxBeta2.5_6,"[466, 922, 1393, 1862, 2315, 2798, 3250, 3700, 4154, 4604, 5056, 5509, 5958, 6408, 6857, 7316, 7797]","[(1, 1), [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [6, 5], [7, 5], [6, 6], [6, 7], [6, 8], [6, 9], [6, 10], [6, 11], [6, 12]]","[(0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]",[11],1,"(1, 1)","(12, 6)","(6, 12)",4
5,noise0.1_softmaxBeta2.5_6,"[447, 888, 1348, 1808, 2251, 2691, 3131, 3573, 4014, 4457, 4898, 5339, 5781, 6222, 6663, 7103, 7547]","[(13, 13), [12, 13], [12, 12], [11, 12], [11, 11], [11, 10], [11, 9], [12, 9], [13, 8], [13, 7], [12, 7], [11, 7], [10, 7], [10, 6], [9, 6], [9, 5], [8, 5], [8, 4]]","[(-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1)]","[7, 8]",2,"(13, 13)","(4, 8)","(8, 4)",10
6,noise0.1_softmaxBeta2.5_6,"[456, 930, 1400, 1871, 2319, 2779, 3227, 3683, 4130, 4577, 5025, 5532, 6020, 6496]","[(2, 13), [3, 13], [4, 13], [5, 13], [6, 13], [7, 13], [8, 13], [8, 12], [8, 11], [9, 11], [9, 10], [10, 10], [10, 9], [11, 9], [11, 8]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1)]",[],0,"(2, 13)","(7, 4)","(11, 8)",2
7,noise0.1_softmaxBeta2.5_6,"[494, 1060, 1660, 2147, 2598, 3115, 3590, 4087, 4556, 5113, 5624, 6128, 6618, 7108, 7599, 8089, 8579, 9074]","[(1, 11), [1, 10], [1, 9], [2, 9], [3, 9], [3, 8], [3, 8], [3, 7], [3, 6], [3, 5], [4, 5], [4, 4], [4, 5], [4, 4], [4, 3], [5, 3], [5, 2], [5, 1], [6, 1]]","[(0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (1, 0)]","[6, 12]",2,"(1, 11)","(6, 1)","(11, 6)",6
8,noise0.1_softmaxBeta2.5_6,"[487, 976, 1479, 1969, 2458, 2963, 3452, 4035, 4535, 5009, 5492, 5997, 6478, 6929, 7379, 7832]","[(3, 13), [4, 13], [4, 12], [5, 12], [6, 12], [5, 12], [6, 12], [6, 11], [6, 10], [6, 9], [6, 8], [7, 8], [7, 7], [7, 6], [7, 5], [8, 5], [8, 4]]","[(1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1)]",[5],1,"(3, 13)","(8, 4)","(12, 8)",4
9,noise0.1_softmaxBeta2.5_6,"[449, 895, 1362, 1832, 2282, 2732, 3183, 3633, 4083, 4534, 4984, 5433, 5882, 6332, 6780, 7231, 7680, 8130]","[(13, 2), [12, 2], [11, 2], [11, 3], [11, 4], [11, 5], [10, 5], [10, 6], [11, 5], [11, 6], [11, 7], [11, 8], [10, 8], [9, 8], [9, 9], [9, 10], [9, 11], [9, 12], [8, 12]]","[(-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0)]",[8],1,"(13, 2)","(8, 12)","(3, 7)",2
10,noise0.1_softmaxBeta2.5_6,"[454, 906, 1375, 1844, 2298, 2750, 3207, 3673, 4169, 4636, 5091, 5591, 6058, 6511]","[(4, 1), [5, 1], [5, 2], [5, 3], [6, 3], [6, 4], [6, 5], [6, 6], [6, 7], [7, 7], [8, 7], [8, 8], [8, 9], [9, 9], [9, 10]]","[(0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1)]",[1],1,"(4, 1)","(13, 6)","(9, 10)",6
11,noise0.1_softmaxBeta2.5_6,"[457, 914, 1385, 1864, 2321, 2785, 3247, 3705, 4158, 4614, 5068, 5522, 5976, 6431, 6885, 7373, 7830]","[(2, 2), [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [6, 4], [7, 4], [8, 4], [8, 5], [7, 6], [8, 6], [9, 6], [10, 6], [11, 6], [12, 6], [12, 7], [13, 7]]","[(1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0)]",[10],1,"(2, 2)","(13, 7)","(7, 13)",6
12,noise0.1_softmaxBeta2.5_6,"[456, 911, 1376, 1846, 2298, 2765, 3228, 3696, 4185, 4652, 5104, 5556, 6009, 6493, 6971]","[(2, 13), [2, 12], [2, 11], [3, 11], [4, 11], [5, 11], [5, 10], [5, 9], [6, 9], [7, 9], [8, 9], [9, 9], [10, 9], [11, 9], [12, 8], [13, 8]]","[(0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0)]",[14],1,"(2, 13)","(7, 2)","(13, 8)",2
13,noise0.1_softmaxBeta2.5_6,"[484, 938, 1423, 1912, 2382, 2841, 3289, 3762, 4225, 4675, 5129, 5592, 6075, 6607, 7097]","[(13, 13), [13, 12], [12, 12], [11, 12], [11, 11], [10, 11], [9, 10], [9, 9], [9, 8], [9, 7], [9, 6], [9, 5], [9, 4], [8, 4], [8, 3], [8, 2]]","[(0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1)]",[6],1,"(13, 13)","(2, 8)","(8, 2)",10
14,noise0.1_softmaxBeta2.5_6,"[480, 956, 1436, 1983, 2451, 2951, 3509, 4015, 4548, 5039, 5532, 6024, 6516, 7007, 7505]","[(13, 5), [12, 5], [11, 5], [10, 5], [9, 5], [8, 5], [7, 5], [6, 5], [6, 6], [6, 7], [6, 8], [6, 7], [6, 8], [6, 9], [6, 10], [5, 10]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0)]",[11],1,"(13, 5)","(8, 13)","(5, 10)",2
