,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,minSteps
0,noise0.67_softmaxBeta2.5_4,"[505, 1010, 1527, 2037, 2542, 3050, 3554, 4062, 4594, 5105, 5609, 6117, 6622, 7132, 7636, 8144, 8648, 9156, 9660, 10168, 10671, 11182, 11685, 12194, 12701, 13208, 13716, 14226, 14732, 15242, 15749, 16254, 16762, 17267, 17775, 18281, 18787, 19293, 19802, 20321, 20830, 21333, 21844, 22350, 22856, 23389, 23896, 24402, 24907, 25409, 25913, 26418, 26926, 27428, 27935, 28439, 28945, 29441, 29946, 30452, 30955, 31455, 31961, 32465, 32972, 33475, 33981, 34483, 34990, 35495, 35994, 36498, 37003, 37507, 38012, 38517, 39017, 39522, 40057, 40562, 41072, 41575, 42083, 42584, 43096, 43603, 44112, 44616, 45124, 45630, 46128, 46617, 47115, 47605, 48100, 48592, 49086, 49578, 50074, 50564, 51058, 51551, 52053, 52548, 53044]","[(2, 13), [1, 12], [1, 11], [1, 12], [1, 13], [2, 13], [3, 13], [4, 13], [3, 13], [3, 14], [2, 14], [3, 14], [3, 13], [4, 13], [3, 13], [3, 12], [3, 13], [2, 13], [2, 14], [3, 14], [4, 14], [3, 14], [2, 14], [1, 14], [2, 14], [1, 14], [0, 14], [0, 13], [0, 12], [1, 12], [1, 13], [1, 12], [1, 11], [1, 10], [1, 9], [0, 9], [0, 8], [0, 9], [0, 9], [0, 10], [0, 11], [0, 11], [0, 12], [0, 12], [0, 11], [1, 11], [1, 12], [1, 13], [0, 13], [1, 13], [1, 12], [2, 12], [1, 12], [1, 11], [1, 12], [1, 13], [1, 14], [0, 14], [0, 14], [1, 14], [2, 14], [1, 14], [1, 14], [2, 14], [2, 13], [3, 13], [3, 12], [4, 12], [3, 12], [4, 12], [3, 12], [3, 11], [3, 12], [2, 12], [2, 11], [2, 11], [2, 12], [2, 11], [2, 12], [1, 12], [0, 12], [1, 12], [2, 12], [3, 12], [2, 12], [1, 12], [1, 11], [0, 11], [0, 12], [0, 12], [0, 11], [0, 10], [0, 9], [0, 9], [0, 8], [0, 7], [0, 6], [1, 6], [1, 5], [2, 5], [3, 5], [4, 5], [5, 5], [6, 5], [6, 4], [7, 4]]","[(1, 0), (0, -1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (-1, 0), (0, 1), (-1, 0), (1, 0), (0, -1), (1, 0), (-1, 0), (0, -1), (0, 1), (-1, 0), (0, 1), (1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (1, 0), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (-1, 0), (0, -1), (1, 0), (0, 1), (0, 1), (-1, 0), (1, 0), (0, -1), (1, 0), (-1, 0), (0, -1), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (1, 0), (1, 0), (-1, 0), (0, 1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (-1, 0), (1, 0), (-1, 0), (0, -1), (0, 1), (-1, 0), (0, -1), (0, -1), (0, 1), (0, -1), (0, 1), (-1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, 1), (-1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0)]",[1],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0]",1,"(2, 13)","(7, 4)","(11, 8)",4
1,noise0.67_softmaxBeta2.5_4,"[493, 993, 1504, 2048, 2541, 3039, 3538, 4038, 4531, 5028, 5520, 6020, 6510, 7007, 7499, 7994, 8483, 8979, 9472, 9970, 10466, 10966, 11476, 11990, 12527, 13036, 13534, 14033, 14529, 15030, 15531, 16030, 16528, 17032, 17532, 18035, 18535, 19037, 19539, 20071, 20571, 21073, 21573, 22073, 22570, 23072, 23576, 24077, 24578, 25083, 25585, 26087, 26584, 27078, 27571, 28064, 28554, 29051, 29542, 30055, 30565, 31075, 31582, 32098, 32635, 33144, 33658, 34169, 34684, 35193, 35703, 36215, 36726, 37235, 37746, 38254, 38764, 39273, 39784, 40293, 40804, 41314, 41822, 42365, 42876, 43384, 43900, 44411, 44927]","[(10, 12), [11, 12], [11, 11], [12, 11], [11, 11], [10, 11], [10, 10], [9, 10], [9, 11], [8, 11], [8, 12], [8, 12], [8, 11], [8, 10], [8, 11], [8, 12], [8, 13], [9, 13], [9, 14], [9, 13], [8, 13], [7, 13], [7, 14], [8, 14], [9, 14], [9, 13], [10, 13], [10, 14], [10, 13], [10, 14], [10, 13], [11, 13], [12, 13], [13, 13], [14, 13], [14, 14], [14, 13], [14, 14], [14, 13], [14, 12], [14, 13], [14, 12], [13, 12], [13, 13], [14, 13], [14, 14], [14, 13], [14, 12], [13, 12], [13, 13], [14, 13], [14, 13], [14, 12], [13, 12], [14, 12], [14, 11], [14, 10], [14, 9], [14, 9], [14, 8], [13, 8], [14, 8], [14, 7], [14, 8], [13, 8], [14, 8], [13, 8], [14, 8], [14, 7], [14, 8], [13, 8], [14, 8], [14, 9], [14, 9], [14, 8], [13, 8], [13, 7], [13, 6], [12, 6], [11, 6], [10, 6], [9, 6], [10, 6], [9, 6], [8, 6], [8, 5], [7, 5], [6, 5], [5, 5], [5, 4]]","[(1, 0), (0, -1), (1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (0, -1), (0, -1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, -1), (-1, 0), (-1, 0), (0, 1), (1, 0), (1, 0), (0, -1), (1, 0), (0, 1), (0, -1), (0, 1), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (0, -1), (0, 1), (0, -1), (0, -1), (0, 1), (0, -1), (-1, 0), (0, 1), (1, 0), (0, 1), (0, -1), (0, -1), (-1, 0), (0, 1), (1, 0), (1, 0), (0, -1), (-1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (-1, 0), (1, 0), (0, -1), (0, 1), (-1, 0), (1, 0), (-1, 0), (1, 0), (0, -1), (0, 1), (-1, 0), (1, 0), (0, 1), (1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1)]","[5, 11]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2]",2,"(10, 12)","(2, 7)","(5, 4)",6
2,noise0.67_softmaxBeta2.5_4,"[506, 1019, 1546, 2067, 2576, 3089, 3599, 4113, 4621, 5133, 5643, 6155, 6663, 7176, 7684, 8196, 8702, 9214, 9725, 10240, 10754, 11291, 11806, 12315, 12829, 13340, 13856, 14366, 14883, 15392, 15902, 16410, 16923, 17434, 17950, 18457, 18969, 19479, 19994, 20500, 21013, 21522, 22037, 22545, 23057, 23565, 24078, 24585, 25095, 25603, 26118, 26630, 27142, 27676, 28191, 28701, 29216, 29722, 30216, 30709, 31202, 31691, 32189, 32680, 33174, 33663, 34158, 34654, 35149]","[(12, 12), [13, 12], [14, 12], [14, 11], [14, 12], [13, 12], [12, 12], [13, 12], [13, 11], [14, 11], [14, 12], [13, 12], [12, 12], [12, 13], [11, 13], [11, 12], [11, 13], [11, 14], [10, 14], [11, 14], [11, 13], [11, 14], [10, 14], [10, 14], [9, 14], [10, 14], [10, 14], [10, 13], [10, 14], [10, 13], [10, 14], [11, 14], [10, 14], [11, 14], [11, 14], [12, 14], [11, 14], [10, 14], [9, 14], [10, 14], [11, 14], [10, 14], [11, 14], [12, 14], [12, 13], [12, 12], [12, 11], [11, 11], [10, 11], [10, 10], [9, 10], [10, 10], [10, 9], [10, 8], [9, 8], [10, 8], [10, 9], [9, 9], [8, 9], [8, 10], [8, 9], [8, 8], [7, 8], [6, 8], [5, 8], [4, 8], [3, 8], [2, 8], [1, 8], [1, 7]]","[(1, 0), (1, 0), (0, -1), (0, 1), (-1, 0), (-1, 0), (1, 0), (0, -1), (1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, -1), (0, 1), (0, 1), (-1, 0), (1, 0), (0, -1), (0, 1), (-1, 0), (0, 1), (-1, 0), (1, 0), (0, 1), (0, -1), (0, 1), (0, -1), (0, 1), (1, 0), (-1, 0), (1, 0), (0, 1), (1, 0), (-1, 0), (-1, 0), (-1, 0), (1, 0), (1, 0), (-1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (1, 0), (0, -1), (0, -1), (-1, 0), (1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0]",0,"(12, 12)","(1, 7)","(7, 1)",10
3,noise0.67_softmaxBeta2.5_4,"[489, 980, 1492, 2009, 2514, 3026, 3529, 4067, 4575, 5082, 5586, 6092, 6597, 7103, 7609, 8113, 8617, 9124, 9631, 10136, 10644, 11151, 11657, 12161, 12663, 13165, 13671, 14172, 14676, 15178, 15682, 16184]","[(2, 2), [3, 2], [4, 2], [4, 1], [3, 1], [4, 2], [4, 3], [4, 2], [3, 2], [4, 2], [3, 2], [2, 2], [2, 3], [3, 3], [2, 3], [2, 4], [2, 4], [1, 4], [1, 3], [1, 4], [2, 4], [3, 4], [3, 5], [4, 5], [5, 5], [5, 6], [5, 7], [5, 8], [6, 8], [6, 9], [6, 10], [7, 10], [7, 11]]","[(1, 0), (1, 0), (0, -1), (-1, 0), (-1, 0), (0, 1), (0, -1), (-1, 0), (1, 0), (-1, 0), (-1, 0), (0, 1), (1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, -1), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1)]",[5],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 2]",1,"(2, 2)","(11, 7)","(7, 11)",4
4,noise0.67_softmaxBeta2.5_4,"[532, 1033, 1559, 2071, 2583, 3088, 3600, 4103, 4612, 5115, 5627, 6130, 6643, 7147, 7656, 8164, 8675, 9183, 9694, 10204, 10716, 11226, 11738, 12245, 12751, 13255, 13765, 14268, 14775, 15280, 15789, 16293, 16804, 17346, 17859, 18371, 18882, 19387, 19892, 20397, 20903, 21410, 21918, 22424, 22932, 23442, 23946, 24456, 24960, 25470, 25977, 26485, 26991, 27498, 27999, 28507, 29011, 29503, 29993, 30526, 31033, 31538, 32043, 32553, 33087, 33593, 34095, 34603, 35108, 35614, 36117, 36620, 37125, 37634, 38137, 38642, 39147, 39655, 40156, 40665, 41171, 41678, 42185, 42694, 43201, 43709, 44215, 44723]","[(13, 13), [12, 13], [12, 12], [12, 11], [13, 11], [13, 12], [14, 12], [14, 11], [13, 11], [13, 12], [14, 12], [14, 13], [13, 13], [13, 12], [14, 12], [13, 12], [13, 13], [13, 14], [14, 14], [14, 14], [14, 13], [13, 13], [14, 13], [13, 13], [14, 13], [14, 12], [14, 12], [14, 12], [13, 12], [12, 12], [13, 12], [14, 12], [14, 11], [14, 12], [14, 13], [14, 12], [14, 11], [13, 11], [14, 11], [14, 11], [14, 10], [14, 11], [14, 12], [14, 11], [14, 10], [14, 11], [14, 12], [13, 12], [14, 12], [14, 12], [13, 12], [13, 13], [13, 14], [13, 13], [13, 14], [13, 14], [13, 14], [13, 13], [13, 12], [12, 12], [12, 11], [11, 11], [10, 11], [10, 10], [9, 10], [9, 9], [10, 9], [11, 9], [11, 10], [11, 11], [11, 12], [11, 11], [11, 10], [11, 9], [10, 9], [10, 9], [10, 10], [9, 10], [9, 9], [8, 9], [8, 8], [7, 8], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [2, 8]]","[(-1, 0), (0, -1), (0, -1), (1, 0), (0, 1), (1, 0), (0, -1), (-1, 0), (0, 1), (1, 0), (0, 1), (-1, 0), (0, -1), (1, 0), (-1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (0, -1), (-1, 0), (1, 0), (-1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (-1, 0), (-1, 0), (1, 0), (1, 0), (0, -1), (0, 1), (0, 1), (0, -1), (0, -1), (-1, 0), (1, 0), (1, 0), (0, -1), (0, 1), (0, 1), (0, -1), (0, -1), (0, 1), (0, 1), (-1, 0), (1, 0), (1, 0), (-1, 0), (0, 1), (0, 1), (0, -1), (0, 1), (0, 1), (0, 1), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, 1), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 1, 1, 1, 1]",0,"(13, 13)","(2, 8)","(8, 2)",10
5,noise0.67_softmaxBeta2.5_4,"[507, 1016, 1542, 2064, 2575, 3119, 3629, 4138, 4647, 5156, 5663, 6172, 6683, 7193, 7701, 8211, 8720, 9232, 9744, 10253, 10798, 11309, 11825, 12335, 12847, 13356, 13870, 14378, 14891, 15402, 15915, 16425, 16940, 17447, 17962, 18470, 18983, 19490, 20005, 20513, 21028, 21534, 22047, 22555, 23071]","[(13, 13), [14, 13], [13, 13], [13, 14], [13, 13], [13, 12], [13, 11], [14, 11], [14, 10], [14, 9], [14, 8], [13, 8], [14, 8], [13, 8], [13, 7], [13, 8], [13, 8], [13, 9], [13, 8], [14, 8], [14, 9], [14, 10], [14, 11], [14, 10], [14, 9], [14, 9], [14, 10], [14, 9], [13, 9], [13, 8], [14, 8], [14, 7], [14, 6], [14, 5], [14, 6], [14, 5], [14, 4], [14, 5], [14, 4], [13, 4], [12, 4], [11, 4], [10, 4], [9, 4], [9, 3], [8, 3]]","[(-1, 0), (-1, 0), (0, 1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (-1, 0), (1, 0), (-1, 0), (0, -1), (0, 1), (-1, 0), (0, 1), (0, -1), (1, 0), (0, 1), (0, 1), (0, 1), (0, -1), (0, -1), (1, 0), (0, 1), (0, -1), (-1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, 1), (0, -1), (0, -1), (0, 1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0)]","[1, 6]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 1, 2, 2, 1, 2, 0, 0, 0, 0, 0, 2, 0]",2,"(13, 13)","(3, 8)","(8, 3)",2
6,noise0.67_softmaxBeta2.5_4,"[509, 1021, 1545, 2047, 2537, 3032, 3522, 4015, 4502, 5000, 5492, 5994, 6486, 6977, 7466, 7960, 8449, 8950, 9461, 9971, 10476, 10985, 11489, 11998, 12506, 13021, 13528, 14038, 14544, 15059, 15560, 16073, 16582, 17097, 17610, 18120, 18632, 19136, 19637, 20137, 20641, 21143, 21648, 22149, 22681, 23184, 23691, 24191, 24692, 25195, 25696, 26196, 26701, 27212, 27722, 28230, 28740, 29251, 29760, 30267, 30780, 31288, 31799, 32308, 32817, 33324, 33837]","[(1, 1), [1, 0], [0, 0], [1, 0], [0, 0], [0, 1], [0, 0], [1, 0], [1, 0], [2, 0], [1, 0], [0, 0], [0, 1], [0, 2], [0, 3], [1, 3], [0, 3], [1, 3], [2, 3], [1, 3], [2, 3], [2, 2], [2, 1], [1, 1], [1, 2], [1, 1], [1, 0], [0, 0], [0, 1], [1, 1], [2, 1], [1, 1], [0, 1], [0, 2], [0, 2], [0, 1], [1, 1], [2, 1], [2, 2], [2, 3], [2, 2], [2, 3], [1, 3], [1, 2], [1, 3], [2, 3], [2, 2], [2, 3], [1, 3], [0, 3], [1, 3], [0, 3], [0, 4], [0, 5], [0, 6], [1, 6], [2, 6], [1, 6], [2, 6], [2, 7], [3, 7], [4, 7], [4, 8], [5, 8], [5, 9], [5, 10], [5, 11], [6, 11]]","[(0, -1), (0, 1), (1, 0), (-1, 0), (0, 1), (0, -1), (1, 0), (0, -1), (1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (-1, 0), (1, 0), (1, 0), (-1, 0), (1, 0), (0, -1), (0, -1), (-1, 0), (0, 1), (0, -1), (0, -1), (-1, 0), (0, 1), (1, 0), (1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, -1), (1, 0), (1, 0), (0, 1), (0, 1), (0, -1), (0, 1), (-1, 0), (0, -1), (0, 1), (1, 0), (0, -1), (0, 1), (-1, 0), (-1, 0), (1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (-1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0)]",[2],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 2, 2, 2, 0]",1,"(1, 1)","(11, 6)","(6, 11)",6
7,noise0.67_softmaxBeta2.5_4,"[509, 1020, 1546, 2060, 2565, 3074, 3580, 4090, 4599, 5108, 5613, 6118, 6620, 7126, 7630, 8136, 8640, 9152, 9659, 10167, 10672, 11185, 11689, 12201, 12707, 13220, 13729, 14237, 14748, 15257, 15768, 16274, 16785, 17325, 17841, 18350, 18863, 19371, 19885, 20396, 20910, 21420, 21934, 22445, 22958, 23464, 23976, 24486, 24997, 25505, 26018, 26527, 27041, 27548, 28062, 28571, 29085, 29595, 30108, 30619, 31133, 31641, 32155, 32665, 33178, 33688, 34201, 34712, 35225, 35734, 36245, 36754, 37268, 37781, 38293, 38804, 39315, 39828, 40340, 40851, 41361, 41902, 42408, 42918, 43426, 43937]","[(2, 12), [2, 13], [3, 13], [2, 13], [2, 12], [1, 12], [2, 12], [1, 12], [2, 12], [2, 11], [3, 10], [2, 10], [1, 10], [0, 10], [1, 10], [2, 10], [1, 10], [1, 11], [1, 10], [2, 10], [2, 11], [1, 11], [0, 11], [0, 12], [0, 13], [1, 13], [0, 13], [1, 13], [0, 13], [0, 12], [0, 11], [0, 10], [1, 10], [2, 10], [1, 10], [0, 10], [0, 9], [0, 10], [0, 9], [0, 10], [0, 9], [0, 8], [0, 9], [0, 9], [0, 10], [1, 10], [0, 10], [0, 9], [0, 10], [0, 9], [0, 10], [1, 10], [1, 9], [0, 9], [0, 10], [0, 9], [0, 8], [0, 9], [1, 9], [0, 9], [0, 8], [1, 8], [1, 9], [0, 9], [1, 9], [1, 8], [1, 7], [1, 8], [1, 7], [1, 8], [2, 8], [2, 7], [3, 7], [2, 7], [3, 7], [3, 6], [4, 6], [5, 6], [5, 6], [5, 6], [5, 5], [5, 4], [5, 3], [5, 2], [6, 2], [6, 1], [7, 1]]","[(0, 1), (1, 0), (-1, 0), (0, -1), (-1, 0), (1, 0), (-1, 0), (1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (1, 0), (-1, 0), (0, 1), (0, -1), (1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (1, 0), (-1, 0), (1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (-1, 0), (-1, 0), (0, -1), (0, 1), (0, -1), (0, 1), (0, -1), (0, -1), (0, 1), (-1, 0), (0, 1), (1, 0), (-1, 0), (0, -1), (0, 1), (0, -1), (0, 1), (1, 0), (0, -1), (-1, 0), (0, 1), (0, -1), (0, -1), (0, 1), (1, 0), (-1, 0), (0, -1), (1, 0), (0, 1), (-1, 0), (1, 0), (0, -1), (0, -1), (0, 1), (0, -1), (0, 1), (1, 0), (0, -1), (1, 0), (-1, 0), (1, 0), (0, -1), (1, 0), (1, 0), (0, 1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0)]","[10, 14]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 1, 1, 1, 1, 0, 1, 0]",2,"(2, 12)","(7, 1)","(13, 7)",6
8,noise0.67_softmaxBeta2.5_4,"[508, 1017, 1544, 2059, 2564, 3072, 3577, 4084, 4592, 5097, 5605, 6114, 6622, 7129, 7637, 8147, 8654, 9165, 9676, 10186, 10698, 11209, 11717, 12225, 12731, 13239, 13744, 14251, 14760, 15268, 15775, 16283]","[(10, 1), [10, 0], [10, 1], [9, 1], [9, 0], [10, 0], [11, 0], [12, 0], [11, 0], [11, 1], [11, 0], [11, 1], [10, 1], [10, 0], [10, 1], [9, 1], [8, 1], [8, 2], [8, 3], [7, 3], [8, 3], [8, 4], [7, 4], [8, 4], [8, 5], [8, 6], [7, 6], [7, 7], [7, 8], [7, 9], [6, 9], [5, 9], [5, 10]]","[(0, -1), (0, 1), (-1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (-1, 0), (0, 1), (0, -1), (0, 1), (-1, 0), (0, -1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (1, 0), (0, 1), (-1, 0), (1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1]",0,"(10, 1)","(5, 10)","(1, 6)",2
9,noise0.67_softmaxBeta2.5_4,"[509, 1017, 1547, 2063, 2573, 3082, 3623, 4129, 4640, 5146, 5658, 6158, 6666, 7170, 7678, 8182, 8691, 9198, 9710, 10216, 10728]","[(11, 9), [11, 10], [12, 10], [12, 9], [12, 8], [11, 8], [11, 7], [11, 8], [10, 8], [11, 8], [10, 8], [10, 7], [10, 6], [9, 6], [8, 6], [7, 6], [6, 6], [5, 6], [5, 5], [4, 5], [4, 4], [3, 4]]","[(0, 1), (1, 0), (1, 0), (0, -1), (-1, 0), (0, -1), (0, 1), (-1, 0), (1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0)]",[3],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",1,"(11, 9)","(3, 4)","(6, 1)",4
