,name,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,playerGrid,target1,target2,minSteps
0,noise0.67_softmaxBeta2.5_1,"[513, 1026, 1558, 2075, 2588, 3099, 3611, 4120, 4637, 5148, 5695, 6208, 6725, 7239, 7757, 8269, 8785, 9299, 9818, 10331, 10850, 11363, 11883, 12398, 12916, 13429, 13949, 14464, 14979, 15495, 16010, 16525, 17039, 17562, 18078, 18596, 19111, 19630, 20142]","[(12, 2), [12, 3], [12, 2], [13, 2], [13, 1], [13, 0], [13, 1], [13, 2], [13, 3], [12, 3], [12, 4], [12, 4], [12, 4], [12, 3], [12, 4], [11, 4], [12, 4], [12, 4], [13, 4], [13, 5], [13, 6], [13, 7], [13, 8], [12, 8], [13, 8], [12, 8], [12, 9], [12, 8], [12, 9], [11, 9], [12, 9], [12, 10], [11, 10], [11, 11], [11, 12], [10, 12], [9, 12], [8, 12], [7, 12], [7, 13]]","[(0, 1), (0, -1), (1, 0), (0, -1), (0, -1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, -1), (0, 1), (-1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (1, 0), (-1, 0), (0, 1), (0, -1), (0, 1), (-1, 0), (1, 0), (0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1]",0,"(12, 2)","(7, 13)","(1, 7)",10
1,noise0.67_softmaxBeta2.5_1,"[516, 1059, 1592, 2102, 2614, 3121, 3630, 4136, 4647, 5155, 5662, 6172, 6680, 7188, 7698, 8204, 8716, 9225, 9734, 10243, 10753, 11260, 11768, 12275, 12786, 13297, 13837, 14347, 14857, 15365, 15875, 16387, 16899, 17412, 17926, 18440, 18957, 19471, 19983, 20499, 21015, 21526, 22039, 22551, 23061, 23605, 24119, 24638, 25145, 25647, 26145, 26649, 27148, 27651, 28149, 28653, 29152, 29653, 30150, 30656, 31184, 31688, 32184, 32686, 33185, 33688, 34190, 34694, 35192, 35696, 36193, 36696, 37196, 37699, 38199, 38701, 39209, 39726, 40239, 40754, 41267, 41785, 42300, 42820, 43334, 43848, 44364, 44877, 45396, 45910, 46425, 46940, 47456]","[(12, 12), [12, 13], [12, 14], [11, 14], [12, 14], [13, 14], [14, 14], [14, 14], [14, 13], [13, 13], [14, 13], [14, 12], [14, 11], [13, 11], [13, 10], [13, 11], [13, 12], [14, 12], [13, 12], [14, 12], [13, 12], [14, 12], [13, 12], [12, 12], [13, 12], [13, 13], [14, 13], [14, 12], [14, 11], [14, 10], [14, 11], [14, 11], [14, 10], [14, 11], [14, 12], [14, 13], [14, 14], [13, 14], [13, 13], [12, 13], [12, 14], [11, 14], [12, 14], [12, 14], [12, 13], [13, 13], [13, 14], [12, 14], [13, 14], [13, 13], [13, 14], [12, 14], [11, 14], [10, 14], [10, 13], [11, 13], [11, 12], [12, 12], [12, 11], [11, 11], [10, 11], [10, 11], [11, 11], [10, 11], [10, 11], [10, 12], [11, 12], [11, 11], [11, 10], [10, 10], [11, 10], [11, 11], [10, 11], [10, 10], [9, 10], [10, 10], [11, 10], [11, 10], [11, 11], [10, 11], [10, 10], [10, 9], [10, 9], [10, 8], [9, 8], [8, 8], [8, 7], [8, 6], [8, 5], [8, 4], [8, 3], [8, 2], [8, 1], [7, 1]]","[(0, 1), (0, 1), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (-1, 0), (1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, 1), (0, 1), (1, 0), (-1, 0), (1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (1, 0), (0, 1), (1, 0), (0, -1), (0, -1), (0, -1), (0, 1), (1, 0), (0, -1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, -1), (-1, 0), (0, 1), (-1, 0), (1, 0), (0, 1), (0, -1), (1, 0), (0, 1), (-1, 0), (1, 0), (0, -1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (0, 1), (1, 0), (0, -1), (0, -1), (-1, 0), (1, 0), (0, 1), (-1, 0), (0, -1), (-1, 0), (1, 0), (1, 0), (0, -1), (0, 1), (-1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0)]",[11],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0]",1,"(12, 12)","(1, 7)","(7, 1)",6
2,noise0.67_softmaxBeta2.5_1,"[515, 1034, 1566, 2088, 2603, 3121, 3637, 4160, 4675, 5194, 5710, 6230, 6746, 7264, 7779, 8295, 8809, 9328, 9845, 10366, 10884, 11401, 11917, 12431, 12949, 13466, 13983, 14499, 15017, 15537, 16055, 16572, 17095, 17608, 18127, 18644, 19163, 19678, 20196, 20710, 21228, 21771, 22290, 22805, 23323, 23838, 24351, 24870, 25391, 25906, 26421, 26935, 27450, 27971, 28486, 29003, 29520, 30039, 30558, 31074, 31578, 32095, 32614, 33131, 33649, 34169, 34685, 35206, 35721, 36240, 36753, 37259, 37756, 38256, 38754, 39253, 39748, 40249, 40746, 41248, 41746, 42247]","[(10, 13), [11, 13], [11, 12], [11, 13], [12, 14], [12, 14], [13, 14], [13, 14], [12, 14], [13, 14], [14, 14], [14, 14], [14, 13], [14, 14], [14, 13], [14, 14], [14, 13], [14, 14], [14, 13], [14, 14], [14, 14], [13, 14], [14, 14], [14, 13], [13, 13], [14, 13], [14, 14], [14, 13], [14, 12], [14, 13], [14, 14], [13, 14], [12, 14], [13, 14], [13, 13], [14, 13], [14, 12], [14, 13], [13, 13], [12, 13], [12, 14], [11, 14], [11, 13], [11, 12], [12, 12], [12, 13], [11, 13], [11, 12], [10, 12], [10, 11], [11, 11], [10, 11], [10, 12], [10, 13], [10, 14], [9, 14], [8, 14], [9, 14], [9, 13], [9, 13], [9, 13], [10, 13], [9, 13], [8, 13], [8, 12], [8, 13], [8, 12], [8, 11], [9, 11], [10, 11], [9, 11], [10, 11], [9, 11], [8, 11], [8, 10], [8, 9], [7, 9], [6, 9], [5, 9], [4, 9], [3, 9], [2, 9], [2, 8]]","[(1, 0), (0, -1), (0, 1), (-1, 0), (-1, 0), (1, 0), (0, 1), (-1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, 1), (0, -1), (0, 1), (0, -1), (0, 1), (0, -1), (0, 1), (0, 1), (-1, 0), (1, 0), (0, -1), (-1, 0), (1, 0), (0, 1), (0, -1), (0, -1), (0, 1), (0, 1), (-1, 0), (-1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, 1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, -1), (0, -1), (1, 0), (0, 1), (-1, 0), (0, -1), (-1, 0), (0, -1), (1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0), (-1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (1, 0), (-1, 0), (-1, 0), (0, -1), (0, 1), (0, -1), (0, -1), (1, 0), (1, 0), (-1, 0), (1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1)]","[4, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",2,"(10, 13)","(2, 8)","(5, 5)",2
3,noise0.67_softmaxBeta2.5_1,"[498, 996, 1535, 2067, 2584, 3105, 3622, 4142, 4660, 5177, 5725, 6241, 6761, 7278, 7797, 8315, 8834, 9352, 9871, 10389, 10910, 11427, 11948, 12468, 12989, 13505, 14026, 14543, 15062, 15578, 16101, 16619, 17136, 17654, 18171, 18689, 19208, 19730, 20245, 20762, 21279, 21792, 22320, 22834, 23350, 23868, 24383, 24902, 25420, 25938, 26453, 26972, 27489, 28008, 28526, 29039, 29540, 30041, 30538, 31039, 31540, 32040, 32538, 33037, 33536, 34035, 34531, 35032, 35533, 36033, 36530, 37034, 37561, 38064, 38562, 39061, 39560, 40059, 40572, 41090, 41605, 42123, 42641, 43156, 43673, 44189, 44707, 45224, 45743, 46260, 46782, 47299, 47820, 48334, 48857, 49372, 49892, 50407, 50927, 51443, 51965, 52480, 53002]","[(4, 13), [3, 13], [3, 12], [2, 12], [2, 13], [2, 14], [3, 14], [3, 14], [2, 14], [3, 14], [3, 14], [3, 13], [2, 13], [1, 13], [1, 14], [0, 14], [1, 14], [2, 14], [3, 14], [4, 14], [4, 13], [4, 12], [4, 13], [3, 13], [3, 12], [3, 13], [3, 12], [3, 13], [3, 12], [3, 13], [2, 13], [3, 13], [4, 13], [3, 13], [2, 13], [2, 12], [1, 12], [0, 12], [0, 13], [0, 14], [1, 14], [2, 14], [1, 14], [0, 14], [1, 14], [1, 13], [2, 13], [2, 12], [2, 13], [1, 13], [2, 13], [2, 12], [2, 13], [2, 12], [3, 12], [3, 11], [2, 11], [1, 11], [0, 11], [0, 10], [0, 10], [0, 11], [0, 11], [0, 12], [1, 12], [2, 12], [2, 13], [1, 13], [1, 12], [1, 13], [1, 14], [0, 14], [0, 13], [1, 13], [0, 13], [0, 13], [0, 12], [1, 12], [1, 11], [1, 12], [0, 12], [0, 11], [1, 11], [2, 11], [2, 10], [2, 9], [2, 8], [2, 7], [2, 6], [2, 7], [3, 7], [4, 7], [4, 6], [3, 6], [3, 5], [4, 5], [4, 4], [4, 5], [5, 5], [6, 5], [7, 5], [8, 5], [9, 5], [9, 4]]","[(-1, 0), (0, -1), (-1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (-1, 0), (0, -1), (0, 1), (0, -1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (0, 1), (-1, 0), (0, -1), (0, 1), (0, -1), (0, 1), (0, -1), (0, 1), (-1, 0), (1, 0), (1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (-1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (-1, 0), (-1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (0, 1), (-1, 0), (1, 0), (0, -1), (0, 1), (0, -1), (1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, 1), (-1, 0), (0, 1), (1, 0), (1, 0), (0, 1), (-1, 0), (0, -1), (0, 1), (0, 1), (-1, 0), (0, -1), (1, 0), (-1, 0), (-1, 0), (0, -1), (1, 0), (0, -1), (0, 1), (-1, 0), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, 1), (1, 0), (1, 0), (0, -1), (-1, 0), (0, -1), (1, 0), (0, -1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1)]",[9],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0, 1, 0, 1, 0, 1, 2, 0, 0, 0, 0, 0, 1]",1,"(4, 13)","(9, 4)","(13, 8)",10
4,noise0.67_softmaxBeta2.5_1,"[521, 1038, 1603, 2162, 2676, 3187, 3702, 4215, 4733, 5235, 5734, 6230, 6730, 7226, 7725, 8219, 8719, 9211, 9723, 10238, 10745, 11239, 11739, 12238, 12743, 13256, 13773, 14284, 14799, 15310, 15824, 16337, 16853, 17364, 17881, 18396, 18940, 19449, 19962, 20473, 20990, 21502, 22016, 22528, 23044, 23557, 24068, 24577, 25095, 25608, 26124, 26636, 27148, 27663, 28175, 28689, 29202, 29715, 30227, 30738, 31230, 31728, 32221, 32717]","[(10, 1), [11, 1], [12, 1], [13, 1], [13, 0], [14, 0], [13, 0], [14, 0], [13, 0], [14, 0], [14, 0], [14, 1], [14, 2], [13, 2], [14, 2], [14, 3], [14, 2], [14, 1], [14, 0], [13, 0], [12, 0], [11, 0], [11, 0], [10, 0], [11, 0], [10, 0], [9, 0], [9, 1], [10, 1], [11, 1], [10, 1], [10, 0], [9, 0], [9, 1], [9, 1], [9, 0], [8, 0], [7, 0], [8, 0], [9, 0], [9, 1], [9, 1], [9, 0], [9, 1], [10, 1], [10, 0], [9, 0], [9, 1], [8, 1], [9, 1], [8, 1], [8, 0], [8, 1], [8, 2], [8, 3], [7, 3], [7, 4], [7, 5], [6, 5], [6, 6], [6, 7], [6, 8], [6, 9], [5, 9], [5, 10]]","[(1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (-1, 0), (1, 0), (-1, 0), (1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (1, 0), (0, 1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (1, 0), (-1, 0), (-1, 0), (0, 1), (1, 0), (1, 0), (-1, 0), (0, -1), (-1, 0), (0, 1), (0, 1), (0, -1), (-1, 0), (-1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (0, -1), (0, 1), (1, 0), (0, -1), (-1, 0), (0, 1), (-1, 0), (1, 0), (-1, 0), (0, -1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0), (0, 1)]",[10],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",1,"(10, 1)","(5, 10)","(1, 6)",2
5,noise0.67_softmaxBeta2.5_1,"[493, 986, 1563, 2087, 2599, 3110, 3616, 4129, 4638, 5148, 5658, 6170, 6681, 7191, 7700, 8206, 8698, 9191, 9682, 10185, 10692, 11200, 11705, 12212, 12720, 13229, 13735, 14246, 14751, 15263, 15769]","[(11, 2), [11, 3], [11, 4], [10, 4], [9, 4], [9, 3], [8, 4], [8, 5], [7, 5], [8, 5], [7, 5], [7, 4], [7, 3], [7, 4], [8, 4], [8, 5], [8, 4], [8, 5], [8, 4], [7, 4], [7, 5], [7, 4], [7, 5], [7, 5], [7, 6], [7, 7], [7, 8], [7, 9], [7, 10], [7, 11], [7, 12], [6, 12]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (0, -1), (0, 1), (0, 1), (-1, 0), (1, 0), (-1, 0), (0, -1), (0, -1), (0, 1), (1, 0), (0, 1), (0, -1), (0, 1), (0, -1), (-1, 0), (0, 1), (0, -1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (-1, 0)]",[6],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0]",1,"(11, 2)","(6, 12)","(1, 7)",10
6,noise0.67_softmaxBeta2.5_1,"[509, 1011, 1546, 2055, 2557, 3089, 3591, 4093, 4600, 5105, 5611, 6115, 6624, 7131, 7638, 8147, 8651, 9156, 9656, 10161, 10666, 11175, 11674, 12182, 12679, 13174, 13665, 14157, 14645, 15135, 15628, 16120, 16610, 17105, 17610, 18111, 18616]","[(13, 13), [13, 14], [12, 14], [12, 14], [11, 14], [11, 14], [11, 13], [11, 14], [11, 13], [11, 12], [11, 13], [12, 14], [12, 14], [11, 14], [11, 14], [12, 14], [11, 14], [12, 14], [12, 13], [12, 14], [12, 13], [12, 12], [12, 11], [12, 10], [11, 10], [10, 10], [10, 9], [10, 8], [10, 7], [10, 8], [10, 7], [10, 6], [10, 5], [10, 4], [9, 4], [9, 3], [9, 2], [8, 2]]","[(0, 1), (-1, 0), (1, 0), (-1, 0), (0, 1), (0, -1), (0, 1), (0, -1), (0, -1), (0, 1), (0, -1), (0, 1), (-1, 0), (0, 1), (1, 0), (-1, 0), (1, 0), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (-1, 0)]","[3, 11]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 2, 2, 2, 0, 2, 2, 0]",2,"(13, 13)","(2, 8)","(8, 2)",4
7,noise0.67_softmaxBeta2.5_1,"[504, 1010, 1535, 2048, 2554, 3059, 3563, 4066, 4573, 5080, 5590, 6094, 6605, 7109, 7615, 8120, 8627, 9149, 9642, 10131, 10625, 11119, 11616, 12111, 12601, 13102, 13612, 14116, 14622, 15127, 15635, 16143, 16651, 17154, 17659, 18156, 18665, 19172, 19680, 20185, 20692, 21196, 21702, 22202, 22707, 23210, 23718, 24222, 24727, 25231, 25736, 26241, 26748, 27254, 27762, 28267]","[(1, 13), [0, 13], [0, 14], [1, 14], [0, 14], [1, 14], [0, 14], [0, 14], [0, 14], [0, 13], [0, 14], [0, 13], [0, 12], [0, 13], [1, 13], [1, 12], [0, 12], [1, 12], [0, 12], [0, 11], [1, 11], [1, 10], [1, 11], [1, 12], [1, 13], [1, 12], [1, 11], [2, 11], [1, 11], [2, 11], [1, 11], [1, 10], [0, 10], [0, 11], [0, 10], [0, 9], [0, 8], [1, 8], [0, 8], [1, 8], [1, 7], [1, 6], [0, 6], [0, 5], [0, 4], [0, 3], [0, 2], [0, 2], [0, 1], [0, 2], [1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [5, 3], [6, 3]]","[(-1, 0), (0, 1), (1, 0), (-1, 0), (1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, 1), (0, -1), (0, -1), (0, 1), (1, 0), (0, -1), (-1, 0), (1, 0), (-1, 0), (0, -1), (1, 0), (0, -1), (0, 1), (0, 1), (0, 1), (0, -1), (0, -1), (1, 0), (-1, 0), (1, 0), (-1, 0), (0, -1), (-1, 0), (0, 1), (0, -1), (0, -1), (0, -1), (1, 0), (-1, 0), (1, 0), (0, -1), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0)]",[7],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"(1, 13)","(6, 3)","(11, 8)",2
8,noise0.67_softmaxBeta2.5_1,"[509, 1015, 1575, 2091, 2602, 3111, 3625, 4135, 4647, 5157, 5671, 6182, 6694, 7203, 7715, 8225, 8736, 9248, 9760, 10274, 10784, 11296, 11802, 12315, 12824, 13338, 13847, 14362]","[(4, 3), [4, 4], [3, 4], [2, 4], [2, 3], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [4, 5], [5, 5], [5, 4], [5, 5], [5, 5], [5, 4], [6, 4], [6, 5], [7, 5], [7, 5], [8, 5], [9, 5], [10, 5], [10, 6], [10, 7], [11, 7], [12, 7], [12, 8], [13, 8]]","[(0, 1), (-1, 0), (-1, 0), (0, -1), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (-1, 0), (1, 0), (0, -1), (0, 1), (0, 1), (0, -1), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1]",0,"(4, 3)","(13, 8)","(9, 12)",6
9,noise0.67_softmaxBeta2.5_1,"[505, 1020, 1546, 2068, 2578, 3093, 3604, 4118, 4660, 5192, 5704, 6222, 6738, 7251, 7762, 8278, 8791, 9304, 9817, 10332, 10842, 11355, 11867, 12380, 12895, 13406, 13919, 14431, 14945, 15456, 15970, 16480, 16992, 17502, 18014, 18526, 19039, 19550, 20062, 20572, 21113, 21621, 22133, 22644, 23158, 23670, 24183, 24695, 25208, 25718, 26229]","[(2, 10), [1, 10], [2, 10], [3, 10], [2, 10], [1, 10], [0, 10], [0, 11], [0, 12], [1, 12], [0, 12], [0, 11], [0, 12], [0, 13], [0, 13], [1, 13], [2, 13], [2, 14], [3, 14], [4, 14], [5, 14], [6, 14], [7, 14], [7, 13], [7, 14], [8, 14], [7, 14], [7, 13], [7, 14], [8, 14], [8, 13], [8, 12], [8, 13], [8, 14], [8, 13], [9, 13], [8, 13], [7, 13], [8, 13], [7, 13], [7, 12], [7, 11], [8, 11], [8, 10], [9, 10], [9, 9], [10, 9], [10, 8], [10, 7], [10, 6], [10, 5], [11, 5]]","[(-1, 0), (1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (1, 0), (0, -1), (0, -1), (0, 1), (0, 1), (-1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (0, 1), (1, 0), (-1, 0), (0, -1), (0, 1), (1, 0), (0, -1), (0, -1), (0, 1), (0, 1), (0, -1), (1, 0), (-1, 0), (-1, 0), (1, 0), (-1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0)]",[10],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 2, 0, 0, 0, 0, 0, 2, 1, 1, 2, 1, 0, 0, 2, 0, 2, 0, 2, 0, 0, 0, 0, 2]",1,"(2, 10)","(7, 1)","(11, 5)",10
